Conc1	1.25E-08	
Start1	1020	
Stop1	1439.8	
Kobs	0.0038218939319968	
Error Kobs	4.14361889801998E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
1020	0.00074445	0	
1020.2	0.00018598	0.00038583	
1020.4	-0.000709	0.00076935	
1020.6	-0.0017562	0.00115055	
1020.8	-0.00268825	0.00152946	
1021	-0.00331397	0.0019061	
1021.2	-0.00367002	0.00228046	
1021.4	-0.00393952	0.00265257	
1021.6	-0.00398467	0.00302245	
1021.8	-0.00402777	0.00339009	
1022	-0.00368543	0.00375553	
1022.2	-0.00295275	0.00411877	
1022.4	-0.00309163	0.00447982	
1022.6	-0.00294005	0.00483869	
1022.8	-0.00274213	0.00519541	
1023	-0.00263438	0.00554998	
1023.2	-0.00270478	0.00590242	
1023.4	-0.00245691	0.00625274	
1023.6	-0.00240688	0.00660095	
1023.8	-0.00275839	0.00694706	
1024	-0.00244274	0.00729109	
1024.2	-0.00215257	0.00763306	
1024.4	-0.00232859	0.00797296	
1024.6	-0.00232748	0.00831082	
1024.8	-0.00217139	0.00864664	
1025	-0.00185327	0.00898045	
1025.2	-0.00155399	0.00931224	
1025.4	-0.00155325	0.00964204	
1025.6	-0.0012855	0.00996986	
1025.8	-0.00091508	0.0102957	
1026	-0.00040081	0.01061958	
1026.2	-0.0001321	0.01094151	
1026.4	0.00014952	0.01126151	
1026.6	0.00024447	0.01157958	
1026.8	0.00035835	0.01189573	
1027	0.00058279	0.01220999	
1027.2	0.00034572	0.01252235	
1027.4	0.00053102	0.01283283	
1027.6	0.00092857	0.01314144	
1027.8	0.00122937	0.0134482	
1028	0.00146955	0.01375311	
1028.2	0.00190398	0.01405619	
1028.4	0.00218802	0.01435744	
1028.6	0.00259782	0.01465688	
1028.8	0.00268374	0.01495452	
1029	0.00290169	0.01525037	
1029.2	0.00310756	0.01554444	
1029.4	0.00335142	0.01583673	
1029.6	0.00401319	0.01612727	
1029.8	0.00455871	0.01641606	
1030	0.00500065	0.01670311	
1030.2	0.00493767	0.01698844	
1030.4	0.00502486	0.01727205	
1030.6	0.00479555	0.01755395	
1030.8	0.0050245	0.01783415	
1031	0.00529562	0.01811267	
1031.2	0.00532154	0.01838952	
1031.4	0.00563905	0.01866469	
1031.6	0.00601622	0.01893822	
1031.8	0.00598218	0.01921009	
1032	0.00613816	0.01948033	
1032.2	0.0067234	0.01974895	
1032.4	0.00703526	0.02001594	
1032.6	0.00715013	0.02028133	
1032.8	0.00711232	0.02054513	
1033	0.00721543	0.02080733	
1033.2	0.00703705	0.02106796	
1033.4	0.00746214	0.02132702	
1033.6	0.00803923	0.02158452	
1033.8	0.00825976	0.02184047	
1034	0.00883888	0.02209489	
1034.2	0.00889721	0.02234777	
1034.4	0.00897138	0.02259913	
1034.6	0.00957509	0.02284897	
1034.8	0.01021868	0.02309731	
1035	0.0102632	0.02334416	
1035.2	0.01049935	0.02358953	
1035.4	0.01026985	0.02383341	
1035.6	0.01071004	0.02407583	
1035.8	0.01105586	0.02431679	
1036	0.01149242	0.0245563	
1036.2	0.01178937	0.02479437	
1036.4	0.01203245	0.02503101	
1036.6	0.01239944	0.02526622	
1036.8	0.01253382	0.02550002	
1037	0.01277461	0.02573241	
1037.2	0.01288799	0.0259634	
1037.4	0.0137295	0.02619301	
1037.6	0.01438203	0.02642123	
1037.8	0.01471293	0.02664807	
1038	0.01535472	0.02687356	
1038.2	0.01555073	0.02709768	
1038.4	0.01559429	0.02732046	
1038.6	0.01622861	0.02754189	
1038.8	0.01608626	0.027762	
1039	0.01579066	0.02798078	
1039.2	0.01575712	0.02819824	
1039.4	0.01545261	0.02841439	
1039.6	0.01543345	0.02862925	
1039.8	0.01548973	0.02884281	
1040	0.0151711	0.02905508	
1040.2	0.01533755	0.02926608	
1040.4	0.01559924	0.02947581	
1040.6	0.01621046	0.02968428	
1040.8	0.01611799	0.02989149	
1041	0.01680052	0.03009745	
1041.2	0.01702541	0.03030218	
1041.4	0.01785094	0.03050567	
1041.6	0.01842078	0.03070794	
1041.8	0.01868084	0.030909	
1042	0.01925815	0.03110884	
1042.2	0.01968462	0.03130748	
1042.4	0.01984263	0.03150492	
1042.6	0.02029656	0.03170118	
1042.8	0.02038149	0.03189626	
1043	0.02026429	0.03209016	
1043.2	0.02010442	0.03228289	
1043.4	0.02013986	0.03247447	
1043.6	0.01985472	0.03266489	
1043.8	0.02026528	0.03285417	
1044	0.02008159	0.0330423	
1044.2	0.02054982	0.03322931	
1044.4	0.02025378	0.03341519	
1044.6	0.02048926	0.03359995	
1044.8	0.02041151	0.0337836	
1045	0.0208685	0.03396615	
1045.2	0.02091629	0.03414759	
1045.4	0.02156316	0.03432795	
1045.6	0.02173281	0.03450722	
1045.8	0.02228669	0.03468541	
1046	0.0227638	0.03486253	
1046.2	0.02308877	0.03503858	
1046.4	0.02335882	0.03521357	
1046.6	0.02409692	0.03538751	
