Conc1	2.5E-08	
Start1	1020	
Stop1	1439.8	
Kobs	0.0038218939319968	
Error Kobs	4.14361889801998E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
1020	-0.00206715	0	
1020.2	-0.00177807	0.00089277	
1020.4	-0.00160115	0.00177551	
1020.6	-0.00106587	0.00264832	
1020.8	-0.0008174	0.00351132	
1021	-0.00056663	0.00436461	
1021.2	0.00009779	0.00520832	
1021.4	0.00034166	0.00604253	
1021.6	0.00103859	0.00686737	
1021.8	0.00171409	0.00768293	
1022	0.00224162	0.00848932	
1022.2	0.00261047	0.00928665	
1022.4	0.00328244	0.01007501	
1022.6	0.00425426	0.01085451	
1022.8	0.00466264	0.01162525	
1023	0.00474809	0.01238732	
1023.2	0.00510494	0.01314082	
1023.4	0.00563619	0.01388585	
1023.6	0.00641204	0.0146225	
1023.8	0.00716181	0.01535087	
1024	0.00825634	0.01607105	
1024.2	0.00894708	0.01678314	
1024.4	0.00993006	0.01748722	
1024.6	0.01111844	0.01818338	
1024.8	0.01208978	0.01887171	
1025	0.0128256	0.01955231	
1025.2	0.01391086	0.02022526	
1025.4	0.01486874	0.02089063	
1025.6	0.01602757	0.02154853	
1025.8	0.01710282	0.02219903	
1026	0.0181026	0.02284222	
1026.2	0.01892489	0.02347817	
1026.4	0.02022665	0.02410698	
1026.6	0.02082553	0.02472872	
1026.8	0.02137528	0.02534346	
1027	0.02196098	0.0259513	
1027.2	0.0227436	0.0265523	
1027.4	0.02383286	0.02714654	
1027.6	0.02455556	0.0277341	
1027.8	0.02529175	0.02831506	
1028	0.02570908	0.02888948	
1028.2	0.02588801	0.02945744	
1028.4	0.0268111	0.03001902	
1028.6	0.02737321	0.03057429	
1028.8	0.0280116	0.03112331	
1029	0.02833213	0.03166616	
1029.2	0.02921091	0.03220291	
1029.4	0.02987773	0.03273362	
1029.6	0.03057911	0.03325837	
1029.8	0.03116974	0.03377721	
1030	0.03168015	0.03429023	
1030.2	0.03217323	0.03479747	
1030.4	0.03303116	0.03529901	
1030.6	0.03312418	0.03579491	
1030.8	0.03359105	0.03628524	
1031	0.03393917	0.03677005	
1031.2	0.03420079	0.03724942	
1031.4	0.03486081	0.03772339	
1031.6	0.0353784	0.03819204	
1031.8	0.03584119	0.03865541	
1032	0.03674424	0.03911358	
1032.2	0.0374078	0.03956659	
1032.4	0.0383096	0.04001451	
1032.6	0.03918076	0.0404574	
1032.8	0.04013249	0.0408953	
1033	0.04135617	0.04132829	
1033.2	0.04188972	0.0417564	
1033.4	0.04231838	0.0421797	
1033.6	0.04317125	0.04259824	
1033.8	0.0438091	0.04301208	
1034	0.04451291	0.04342126	
