Conc1	1E-07	
Start1	1020	
Stop1	1439.8	
Kobs	0.0038218939319968	
Error Kobs	4.14361889801998E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
1020	0.00065234	0	
1020.2	0.00244559	0.00393908	
1020.4	0.00456435	0.00771263	
1020.6	0.00714111	0.01132758	
1020.8	0.0099708	0.01479062	
1021	0.01308177	0.01810812	
1021.2	0.01692505	0.02128621	
1021.4	0.02045436	0.02433073	
1021.6	0.02419746	0.0272473	
1021.8	0.02767424	0.0300413	
1022	0.03094414	0.03271789	
1022.2	0.03390815	0.03528199	
1022.4	0.03687981	0.03773833	
1022.6	0.039855	0.04009144	
1022.8	0.04288016	0.04234567	
1023	0.04568178	0.04450515	
1023.2	0.04826396	0.04657389	
1023.4	0.05117564	0.04855568	
1023.6	0.05357682	0.05045419	
1023.8	0.05601023	0.05227292	
1024	0.05873796	0.05401521	
1024.2	0.06090555	0.05568428	
1024.4	0.0631075	0.0572832	
1024.6	0.06550858	0.05881493	
1024.8	0.0674691	0.06028229	
1025	0.06972556	0.06168798	
1025.2	0.0720285	0.0630346	
1025.4	0.07353083	0.06432463	
1025.6	0.07533659	0.06556044	
1025.8	0.07701416	0.06674432	
1026	0.07824008	0.06787844	
1026.2	0.07949373	0.0689649	
1026.4	0.08084137	0.0700057	
1026.6	0.08198452	0.07100276	
1026.8	0.08303461	0.07195792	
1027	0.08405898	0.07287294	
1027.2	0.08515175	0.07374951	
1027.4	0.0858032	0.07458923	
1027.6	0.08616303	0.07539367	
1027.8	0.08705961	0.0761643	
1028	0.08830518	0.07690254	
1028.2	0.08880725	0.07760976	
1028.4	0.0893093	0.07828726	
1028.6	0.09001008	0.07893629	
1028.8	0.09041357	0.07955803	
1029	0.09141808	0.08015366	
1029.2	0.09241401	0.08072424	
1029.4	0.09296795	0.08127085	
1029.6	0.09353782	0.08179449	
1029.8	0.09453292	0.08229613	
1030	0.09480576	0.08277668	
1030.2	0.09537026	0.08323703	
1030.4	0.09558148	0.08367804	
1030.6	0.0958734	0.08410052	
1030.8	0.09640984	0.08450524	
1031	0.09679995	0.08489295	
1031.2	0.09726409	0.08526437	
1031.4	0.09792235	0.08562018	
1031.6	0.09848174	0.08596103	
1031.8	0.0988011	0.08628756	
1032	0.09928259	0.08660037	
1032.2	0.09942054	0.08690004	
1032.4	0.0997874	0.0871871	
1032.6	0.10054023	0.08746211	
1032.8	0.10077553	0.08772556	
1033	0.1011392	0.08797793	
1033.2	0.10096254	0.0882197	
1033.4	0.1009214	0.08845131	
1033.6	0.10085064	0.08867319	
1033.8	0.10088992	0.08888574	
1034	0.1004335	0.08908936	
1034.2	0.1002333	0.08928442	
1034.4	0.09979362	0.08947129	
1034.6	0.09978122	0.0896503	
1034.8	0.09984489	0.08982179	
1035	0.09964706	0.08998607	
1035.2	0.09983104	0.09014345	
1035.4	0.10005924	0.09029421	
1035.6	0.09950277	0.09043864	
1035.8	0.0993954	0.090577	
1036	0.09971311	0.09070954	
1036.2	0.09977138	0.09083651	
1036.4	0.09993948	0.09095815	
1036.6	0.10003437	0.09107467	
1036.8	0.09954589	0.0911863	
1037	0.09973579	0.09129324	
1037.2	0.09974494	0.09139568	
1037.4	0.10024932	0.09149382	
1037.6	0.09965506	0.09158783	
1037.8	0.09960729	0.0916779	
1038	0.09967163	0.09176417	
1038.2	0.09996803	0.09184683	
1038.4	0.09973018	0.091926	
1038.6	0.10001293	0.09200185	
1038.8	0.10007588	0.09207452	
1039	0.10002501	0.09214413	
1039.2	0.10024684	0.09221081	
1039.4	0.10024569	0.09227469	
1039.6	0.10004698	0.09233589	
1039.8	0.10040992	0.09239451	
1040	0.10022802	0.09245068	
1040.2	0.0999197	0.09250448	
1040.4	0.0999023	0.09255602	
1040.6	0.09984692	0.09260539	
1040.8	0.0994908	0.09265269	
1041	0.09976255	0.092698	
1041.2	0.09956965	0.09274141	
1041.4	0.09956097	0.09278299	
1041.6	0.09905495	0.09282283	
1041.8	0.09928476	0.09286099	
1042	0.09948544	0.09289755	
1042.2	0.09969455	0.09293257	
1042.4	0.09940136	0.09296612	
1042.6	0.1000155	0.09299826	
1042.8	0.10002738	0.09302905	
1043	0.09998093	0.09305854	
1043.2	0.10006379	0.0930868	
1043.4	0.09991523	0.09311386	
1043.6	0.09962009	0.09313979	
1043.8	0.09969142	0.09316463	
1044	0.09933471	0.09318843	
1044.2	0.09878922	0.09321123	
1044.4	0.09858294	0.09323307	
1044.6	0.09826894	0.09325399	
1044.8	0.09768981	0.09327403	
1045	0.09769277	0.09329323	
1045.2	0.0977146	0.09331162	
1045.4	0.09776938	0.09332924	
1045.6	0.09762863	0.09334612	
1045.8	0.09771109	0.09336229	
1046	0.09795574	0.09337778	
1046.2	0.09794574	0.09339262	
1046.4	0.09808004	0.09340683	
1046.6	0.09834186	0.09342045	
1046.8	0.09773039	0.0934335	
1047	0.0972174	0.093446	
1047.2	0.09708309	0.09345797	
1047.4	0.09682204	0.09346944	
1047.6	0.09687124	0.09348042	
1047.8	0.0968962	0.09349095	
1048	0.09652119	0.09350103	
1048.2	0.09620062	0.09351069	
1048.4	0.09657586	0.09351995	
1048.6	0.09670628	0.09352881	
1048.8	0.09679983	0.0935373	
1049	0.09697348	0.09354544	
1049.2	0.09711266	0.09355323	
1049.4	0.09695066	0.0935607	
1049.6	0.09669418	0.09356785	
1049.8	0.09665341	0.0935747	
1050	0.09685475	0.09358126	
1050.2	0.09653506	0.09358755	
1050.4	0.09668712	0.09359357	
1050.6	0.0962971	0.09359934	
1050.8	0.09619992	0.09360487	
1051	0.09610589	0.09361017	
1051.2	0.09621042	0.09361524	
1051.4	0.09630955	0.0936201	
1051.6	0.09639733	0.09362476	
1051.8	0.09627789	0.09362922	
1052	0.09633284	0.09363349	
1052.2	0.09656782	0.09363758	
1052.4	0.09706007	0.0936415	
1052.6	0.09734262	0.09364526	
1052.8	0.09713159	0.09364886	
1053	0.09695582	0.0936523	
1053.2	0.09691936	0.09365561	
1053.4	0.09671368	0.09365877	
1053.6	0.09652001	0.0936618	
1053.8	0.09646688	0.0936647	
1054	0.09644675	0.09366748	
1054.2	0.09619049	0.09367015	
1054.4	0.0962195	0.0936727	
1054.6	0.09581646	0.09367515	
1054.8	0.09566288	0.09367749	
1055	0.09529669	0.09367973	
1055.2	0.09518682	0.09368188	
1055.4	0.09492227	0.09368394	
1055.6	0.0945575	0.09368591	
1055.8	0.09462944	0.0936878	
1056	0.09481306	0.09368961	
1056.2	0.09494326	0.09369135	
1056.4	0.09523277	0.09369301	
1056.6	0.09547132	0.0936946	
1056.8	0.09570184	0.09369612	
1057	0.09584988	0.09369758	
1057.2	0.09622695	0.09369898	
1057.4	0.09580961	0.09370032	
1057.6	0.09584963	0.09370161	
1057.8	0.0955726	0.09370284	
1058	0.09533287	0.09370402	
1058.2	0.09526194	0.09370515	
1058.4	0.09462372	0.09370623	
1058.6	0.09422984	0.09370726	
1058.8	0.09402859	0.09370826	
1059	0.09416509	0.09370921	
1059.2	0.09394984	0.09371012	
1059.4	0.09381397	0.09371099	
1059.6	0.09405008	0.09371183	
1059.8	0.0948017	0.09371263	
1060	0.09496851	0.09371339	
1060.2	0.0948119	0.09371413	
1060.4	0.09521579	0.09371483	
1060.6	0.09516376	0.09371551	
1060.8	0.09530358	0.09371615	
1061	0.09507854	0.09371677	
1061.2	0.09499798	0.09371736	
1061.4	0.09476178	0.09371793	
1061.6	0.09481086	0.09371848	
1061.8	0.09426779	0.093719	
1062	0.09386037	0.0937195	
1062.2	0.09375753	0.09371998	
1062.4	0.09309578	0.09372043	
1062.6	0.09291097	0.09372087	
1062.8	0.09258232	0.09372129	
1063	0.09250664	0.0937217	
1063.2	0.09210868	0.09372208	
1063.4	0.09255837	0.09372245	
1063.6	0.09269871	0.09372281	
1063.8	0.09271215	0.09372315	
1064	0.09203555	0.09372347	
1064.2	0.09161973	0.09372378	
1064.4	0.09151405	0.09372408	
1064.6	0.09127303	0.09372437	
1064.8	0.09144769	0.09372464	
1065	0.09167534	0.0937249	
1065.2	0.09196081	0.09372515	
1065.4	0.09205121	0.09372539	
1065.6	0.09168802	0.09372562	
1065.8	0.09148865	0.09372584	
1066	0.09172998	0.09372606	
1066.2	0.09179214	0.09372626	
1066.4	0.09152715	0.09372645	
1066.6	0.09149277	0.09372664	
1066.8	0.09127958	0.09372682	
1067	0.09124012	0.09372699	
1067.2	0.09106378	0.09372715	
1067.4	0.09091089	0.09372731	
1067.6	0.09053041	0.09372746	
1067.8	0.09023624	0.0937276	
1068	0.0903538	0.09372774	
1068.2	0.09008889	0.09372787	
1068.4	0.09019238	0.093728	
1068.6	0.09037987	0.09372812	
1068.8	0.09058041	0.09372824	
1069	0.09123066	0.09372835	
1069.2	0.09133236	0.09372845	
1069.4	0.09134212	0.09372855	
1069.6	0.0914354	0.09372865	
1069.8	0.09169858	0.09372875	
1070	0.09205416	0.09372884	
1070.2	0.09197955	0.09372892	
1070.4	0.09184203	0.093729	
1070.6	0.09151774	0.09372908	
1070.8	0.09088754	0.09372916	
1071	0.09030083	0.09372923	
1071.2	0.08993193	0.0937293	
1071.4	0.08965966	0.09372937	
1071.6	0.08929452	0.09372943	
1071.8	0.08936952	0.09372949	
1072	0.08942011	0.09372955	
1072.2	0.089026	0.0937296	
1072.4	0.08929256	0.09372966	
1072.6	0.08955118	0.09372971	
1072.8	0.08968076	0.09372976	
1073	0.09021546	0.09372981	
1073.2	0.08997127	0.09372985	
1073.4	0.09003831	0.09372989	
1073.6	0.09021527	0.09372994	
1073.8	0.09046312	0.09372998	
1074	0.09098606	0.09373001	
1074.2	0.09114746	0.09373005	
1074.4	0.09072296	0.09373008	
1074.6	0.09007586	0.09373012	
1074.8	0.08985872	0.09373015	
1075	0.09001471	0.09373018	
1075.2	0.09004263	0.09373021	
1075.4	0.09000719	0.09373024	
1075.6	0.0895582	0.09373026	
1075.8	0.09012703	0.09373029	
1076	0.09015815	0.09373032	
1076.2	0.09030458	0.09373034	
1076.4	0.0903121	0.09373036	
1076.6	0.09033288	0.09373038	
1076.8	0.09032882	0.0937304	
1077	0.09037359	0.09373042	
1077.2	0.08991369	0.09373044	
1077.4	0.08957639	0.09373046	
1077.6	0.08954567	0.09373048	
1077.8	0.08939252	0.0937305	
1078	0.0893376	0.09373051	
1078.2	0.08888353	0.09373053	
1078.4	0.08835784	0.09373054	
1078.6	0.08812837	0.09373056	
1078.8	0.08770447	0.09373057	
1079	0.08761916	0.09373058	
1079.2	0.08734038	0.0937306	
1079.4	0.0873945	0.09373061	
1079.6	0.08727238	0.09373062	
1079.8	0.08769519	0.09373063	
1080	0.08789632	0.09373064	
1080.2	0.0881554	0.09373065	
1080.4	0.08810931	0.09373066	
1080.6	0.08822556	0.09373067	
1080.8	0.0881764	0.09373068	
1081	0.0881249	0.09373069	
1081.2	0.08792057	0.09373069	
1081.4	0.08775711	0.0937307	
1081.6	0.08808503	0.09373071	
1081.8	0.08816609	0.09373072	
1082	0.0886779	0.09373072	
1082.2	0.08841962	0.09373073	
1082.4	0.08863545	0.09373074	
1082.6	0.08841635	0.09373074	
1082.8	0.08768081	0.09373075	
1083	0.08764471	0.09373075	
1083.2	0.08737467	0.09373076	
1083.4	0.08739133	0.09373076	
1083.6	0.08697368	0.09373077	
1083.8	0.08685939	0.09373077	
1084	0.08662352	0.09373078	
1084.2	0.08658577	0.09373078	
1084.4	0.08608415	0.09373079	
1084.6	0.08586119	0.09373079	
1084.8	0.08593483	0.09373079	
1085	0.08592993	0.0937308	
1085.2	0.08567374	0.0937308	
1085.4	0.08583595	0.0937308	
1085.6	0.08610348	0.09373081	
1085.8	0.08637668	0.09373081	
1086	0.08700588	0.09373081	
1086.2	0.08699538	0.09373082	
1086.4	0.08752281	0.09373082	
1086.6	0.08741038	0.09373082	
1086.8	0.08772087	0.09373082	
1087	0.08768019	0.09373083	
1087.2	0.08761059	0.09373083	
1087.4	0.08801824	0.09373083	
1087.6	0.08809995	0.09373083	
1087.8	0.08805617	0.09373083	
1088	0.08820585	0.09373084	
1088.2	0.08828539	0.09373084	
1088.4	0.08795669	0.09373084	
1088.6	0.08835148	0.09373084	
1088.8	0.08829205	0.09373084	
1089	0.0879435	0.09373084	
1089.2	0.08782211	0.09373085	
1089.4	0.08818273	0.09373085	
1089.6	0.08812651	0.09373085	
1089.8	0.08820574	0.09373085	
1090	0.08783945	0.09373085	
1090.2	0.08756626	0.09373085	
1090.4	0.08725341	0.09373085	
1090.6	0.08718643	0.09373085	
1090.8	0.08696118	0.09373086	
1091	0.08615764	0.09373086	
1091.2	0.08613102	0.09373086	
1091.4	0.08609567	0.09373086	
1091.6	0.0859777	0.09373086	
1091.8	0.0854484	0.09373086	
1092	0.08573786	0.09373086	
1092.2	0.08579047	0.09373086	
1092.4	0.08587324	0.09373086	
1092.6	0.08633177	0.09373086	
1092.8	0.08585765	0.09373086	
1093	0.08594678	0.09373086	
1093.2	0.0857479	0.09373086	
1093.4	0.08582557	0.09373087	
1093.6	0.08539875	0.09373087	
1093.8	0.08493762	0.09373087	
1094	0.08443403	0.09373087	
1094.2	0.08454348	0.09373087	
1094.4	0.08430946	0.09373087	
1094.6	0.08400393	0.09373087	
1094.8	0.08350924	0.09373087	
1095	0.0834089	0.09373087	
1095.2	0.08341611	0.09373087	
1095.4	0.08334479	0.09373087	
1095.6	0.08372135	0.09373087	
1095.8	0.08354859	0.09373087	
1096	0.08420531	0.09373087	
1096.2	0.08450016	0.09373087	
1096.4	0.08459541	0.09373087	
1096.6	0.0848562	0.09373087	
1096.8	0.08510484	0.09373087	
1097	0.08514038	0.09373087	
1097.2	0.08490155	0.09373087	
1097.4	0.08492982	0.09373087	
1097.6	0.08460685	0.09373087	
1097.8	0.08433899	0.09373087	
1098	0.08419211	0.09373087	
