Conc1	1.25E-08	
Start1	1020	
Stop1	1439.8	
Kobs	0.00407743624399587	
Error Kobs	4.86367150944756E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
1020	0.00575038	0	
1020.2	0.00519528	0.00029245	
1020.4	0.00475466	0.00058308	
1020.6	0.00414746	0.00087189	
1020.8	0.00406939	0.0011589	
1021	0.00404233	0.00144412	
1021.2	0.00383644	0.00172756	
1021.4	0.00392298	0.00200924	
1021.6	0.00374296	0.00228915	
1021.8	0.00359785	0.00256733	
1022	0.00313277	0.00284376	
1022.2	0.00366332	0.00311847	
1022.4	0.00328108	0.00339147	
1022.6	0.00358112	0.00366277	
1022.8	0.0030676	0.00393237	
1023	0.00333087	0.00420029	
1023.2	0.00355988	0.00446654	
1023.4	0.00409658	0.00473113	
1023.6	0.00438806	0.00499407	
1023.8	0.00397827	0.00525537	
1024	0.00392594	0.00551504	
1024.2	0.0033921	0.00577309	
1024.4	0.00344302	0.00602953	
1024.6	0.00364535	0.00628437	
1024.8	0.00444955	0.00653762	
1025	0.00457319	0.00678929	
1025.2	0.00468909	0.00703939	
1025.4	0.00500441	0.00728793	
1025.6	0.00499649	0.00753492	
1025.8	0.00500139	0.00778037	
1026	0.00497521	0.00802429	
1026.2	0.00569198	0.00826669	
1026.4	0.00551005	0.00850758	
1026.6	0.00617878	0.00874696	
1026.8	0.00599848	0.00898485	
1027	0.00715261	0.00922125	
1027.2	0.00703556	0.00945619	
1027.4	0.00779624	0.00968965	
1027.6	0.00820698	0.00992166	
1027.8	0.00792937	0.01015223	
1028	0.00798501	0.01038135	
1028.2	0.0080036	0.01060905	
1028.4	0.00865191	0.01083532	
1028.6	0.00897873	0.01106018	
1028.8	0.00972967	0.01128365	
1029	0.00951349	0.01150571	
1029.2	0.00992516	0.0117264	
1029.4	0.00950625	0.0119457	
1029.6	0.00982899	0.01216364	
1029.8	0.00973826	0.01238022	
1030	0.00993917	0.01259544	
1030.2	0.01004006	0.01280933	
1030.4	0.01040267	0.01302188	
1030.6	0.01091546	0.01323311	
1030.8	0.01078518	0.01344301	
1031	0.01175484	0.01365161	
1031.2	0.01142643	0.01385891	
1031.4	0.01235162	0.01406491	
1031.6	0.01231521	0.01426963	
1031.8	0.01219962	0.01447307	
1032	0.01224983	0.01467525	
1032.2	0.01253378	0.01487616	
1032.4	0.01299794	0.01507582	
1032.6	0.01336184	0.01527423	
1032.8	0.01376158	0.01547141	
1033	0.01305599	0.01566735	
1033.2	0.01360587	0.01586208	
1033.4	0.01312257	0.01605558	
1033.6	0.01394007	0.01624789	
1033.8	0.01405347	0.01643899	
1034	0.01434481	0.0166289	
1034.2	0.01431563	0.01681763	
1034.4	0.0143407	0.01700517	
1034.6	0.01477031	0.01719155	
1034.8	0.01496965	0.01737677	
1035	0.01585121	0.01756083	
1035.2	0.01572009	0.01774374	
1035.4	0.01660655	0.01792552	
1035.6	0.01648269	0.01810615	
