Conc1	5E-08	
Start1	1020	
Stop1	1439.8	
Kobs	0.00407743624399587	
Error Kobs	4.86367150944756E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
1020	0.00670324	0	
1020.2	0.00678871	0.0017498	
1020.4	0.00714741	0.00346053	
1020.6	0.00759434	0.00513306	
1020.8	0.00761661	0.00676825	
1021	0.00858289	0.00836692	
1021.2	0.00928733	0.0099299	
1021.4	0.01069443	0.01145798	
1021.6	0.01156984	0.01295193	
1021.8	0.01350703	0.01441253	
1022	0.01506025	0.01584052	
1022.2	0.01663219	0.01723662	
1022.4	0.01815102	0.01860155	
1022.6	0.01944575	0.019936	
1022.8	0.02146379	0.02124065	
1023	0.02218762	0.02251617	
1023.2	0.02397588	0.02376321	
1023.4	0.02426892	0.0249824	
1023.6	0.02573514	0.02617438	
1023.8	0.02598821	0.02733973	
1024	0.02754315	0.02847907	
1024.2	0.02773241	0.02959296	
1024.4	0.0288387	0.03068199	
1024.6	0.02957436	0.03174669	
1024.8	0.03013459	0.03278763	
1025	0.03159315	0.03380532	
1025.2	0.03181421	0.03480028	
1025.4	0.03329834	0.03577303	
1025.6	0.03374633	0.03672406	
1025.8	0.03529602	0.03765386	
1026	0.03583703	0.03856289	
1026.2	0.03723544	0.03945162	
1026.4	0.03819894	0.04032051	
1026.6	0.03976002	0.04117	
1026.8	0.04060659	0.04200052	
1027	0.04097941	0.0428125	
1027.2	0.04212919	0.04360634	
1027.4	0.04256301	0.04438246	
1027.6	0.04428463	0.04514126	
1027.8	0.04473476	0.0458831	
1028	0.04598796	0.04660838	
1028.2	0.04610635	0.04731747	
1028.4	0.04757988	0.04801073	
1028.6	0.04797675	0.0486885	
1028.8	0.04835781	0.04935114	
1029	0.04908619	0.04999899	
1029.2	0.04909212	0.05063237	
1029.4	0.05032542	0.05125161	
1029.6	0.05029986	0.05185701	
1029.8	0.05132409	0.05244891	
1030	0.05221106	0.05302758	
1030.2	0.05347925	0.05359334	
1030.4	0.05371525	0.05414646	
1030.6	0.05464931	0.05468723	
1030.8	0.05442182	0.05521593	
1031	0.0552446	0.05573282	
