Conc1	5E-08	
Start1	1020	
Stop1	1439.8	
Kobs	0.00268952251398478	
Error Kobs	2.74739490525457E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
1020	0.00292429	0	
1020.2	0.00456823	0.00474382	
1020.4	0.00619923	0.00941583	
1020.6	0.008155	0.01401713	
1020.8	0.0105745	0.01854879	
1021	0.01359371	0.02301185	
1021.2	0.01664374	0.02740737	
1021.4	0.02001441	0.03173635	
1021.6	0.02333671	0.03599981	
1021.8	0.02697971	0.04019874	
1022	0.03115969	0.04433411	
1022.2	0.0352179	0.04840689	
1022.4	0.03911113	0.05241803	
1022.6	0.04349283	0.05636846	
1022.8	0.04795864	0.06025909	
1023	0.05232491	0.06409083	
1023.2	0.05697138	0.06786458	
1023.4	0.06190991	0.07158121	
1023.6	0.06682244	0.07524159	
1023.8	0.07124667	0.07884656	
1024	0.07607806	0.08239696	
1024.2	0.08072298	0.08589363	
1024.4	0.08466344	0.08933738	
1024.6	0.08942814	0.092729	
1024.8	0.09416571	0.09606928	
1025	0.09864455	0.09935901	
1025.2	0.10275962	0.10259894	
1025.4	0.1071886	0.10578984	
1025.6	0.11141283	0.10893244	
1025.8	0.11617141	0.11202747	
1026	0.12126015	0.11507565	
1026.2	0.12591918	0.1180777	
1026.4	0.13048958	0.12103431	
1026.6	0.13567578	0.12394617	
1026.8	0.14053464	0.12681396	
1027	0.14495915	0.12963834	
1027.2	0.14956166	0.13241997	
1027.4	0.15408676	0.1351595	
1027.6	0.15837057	0.13785756	
1027.8	0.16227338	0.14051479	
1028	0.16617259	0.1431318	
1028.2	0.17026008	0.14570919	
1028.4	0.17389999	0.14824758	
1028.6	0.17795871	0.15074754	
1028.8	0.18136415	0.15320967	
1029	0.18451226	0.15563452	
1029.2	0.18802042	0.15802268	
1029.4	0.19113029	0.16037469	
1029.6	0.19416039	0.1626911	
1029.8	0.197082	0.16497245	
1030	0.20004754	0.16721927	
1030.2	0.20278157	0.16943208	
1030.4	0.20534113	0.1716114	
1030.6	0.2080142	0.17375773	
1030.8	0.20984041	0.17587158	
1031	0.2114595	0.17795343	
1031.2	0.21358487	0.18000377	
1031.4	0.21545986	0.18202308	
1031.6	0.21721731	0.18401182	
1031.8	0.21897584	0.18597046	
1032	0.22088138	0.18789946	
1032.2	0.22310582	0.18979926	
1032.4	0.22509019	0.1916703	
1032.6	0.22667211	0.19351303	
1032.8	0.22844902	0.19532786	
1033	0.22989389	0.19711523	
1033.2	0.23147399	0.19887554	
1033.4	0.23285591	0.2006092	
1033.6	0.23442656	0.20231663	
1033.8	0.23550926	0.20399821	
1034	0.23689582	0.20565435	
1034.2	0.23806889	0.20728541	
1034.4	0.23874931	0.20889179	
1034.6	0.23954192	0.21047385	
1034.8	0.24002147	0.21203197	
1035	0.24078885	0.2135665	
1035.2	0.24150617	0.21507781	
1035.4	0.24237228	0.21656624	
1035.6	0.24350839	0.21803214	
1035.8	0.2444113	0.21947586	
1036	0.24523847	0.22089772	
1036.2	0.24572825	0.22229806	
1036.4	0.24632061	0.22367721	
1036.6	0.24677579	0.22503548	
1036.8	0.24751818	0.2263732	
1037	0.24787956	0.22769067	
1037.2	0.24849054	0.22898819	
1037.4	0.24920336	0.23026608	
1037.6	0.24956821	0.23152462	
1037.8	0.24975764	0.23276412	
1038	0.25038639	0.23398485	
1038.2	0.25093686	0.23518711	
1038.4	0.25122619	0.23637117	
1038.6	0.2517265	0.23753731	
1038.8	0.25211954	0.2386858	
1039	0.25247118	0.23981691	
1039.2	0.25295182	0.24093089	
1039.4	0.25357112	0.24202801	
1039.6	0.25419151	0.24310853	
1039.8	0.25472844	0.2441727	
1040	0.25503312	0.24522075	
1040.2	0.25524071	0.24625294	
1040.4	0.25558553	0.24726951	
1040.6	0.25580644	0.2482707	
1040.8	0.25567557	0.24925673	
1041	0.25590022	0.25022783	
1041.2	0.25634599	0.25118424	
1041.4	0.25672467	0.25212617	
1041.6	0.25687254	0.25305384	
1041.8	0.25740317	0.25396748	
1042	0.25783745	0.25486728	
1042.2	0.25819367	0.25575347	
1042.4	0.25849996	0.25662624	
1042.6	0.25904821	0.2574858	
1042.8	0.2596367	0.25833235	
1043	0.26002007	0.25916609	
1043.2	0.26071397	0.25998721	
1043.4	0.26133637	0.2607959	
1043.6	0.26230753	0.26159235	
1043.8	0.26233766	0.26237674	
1044	0.26231569	0.26314927	
1044.2	0.26265598	0.2639101	
1044.4	0.26269848	0.26465941	
1044.6	0.26260585	0.26539738	
1044.8	0.26282571	0.26612418	
1045	0.26355095	0.26683999	
1045.2	0.26392647	0.26754495	
1045.4	0.2640219	0.26823925	
1045.6	0.2641831	0.26892304	
1045.8	0.26397477	0.26959648	
1046	0.26433044	0.27025973	
1046.2	0.26445541	0.27091293	
1046.4	0.26492496	0.27155625	
1046.6	0.26529113	0.27218984	
1046.8	0.26583367	0.27281383	
1047	0.2663198	0.27342838	
1047.2	0.26668014	0.27403362	
1047.4	0.26709845	0.27462971	
1047.6	0.26742316	0.27521677	
1047.8	0.26743771	0.27579495	
1048	0.26812395	0.27636438	
1048.2	0.26885613	0.27692519	
1048.4	0.26889098	0.27747751	
1048.6	0.26905176	0.27802147	
1048.8	0.26911253	0.27855719	
1049	0.26934007	0.27908481	
1049.2	0.26946142	0.27960444	
1049.4	0.26954569	0.28011621	
1049.6	0.26970572	0.28062023	
1049.8	0.26925574	0.28111662	
1050	0.26965771	0.2816055	
1050.2	0.26945928	0.28208698	
1050.4	0.26986009	0.28256117	
1050.6	0.27034268	0.28302819	
1050.8	0.27081238	0.28348813	
1051	0.27133363	0.28394112	
1051.2	0.27131676	0.28438724	
1051.4	0.27155086	0.28482662	
1051.6	0.27212413	0.28525934	
1051.8	0.27250818	0.28568552	
1052	0.27281724	0.28610524	
1052.2	0.27312687	0.28651862	
1052.4	0.27309511	0.28692573	
1052.6	0.27315513	0.28732668	
1052.8	0.27290921	0.28772157	
1053	0.27310539	0.28811048	
1053.2	0.27352698	0.2884935	
1053.4	0.27353612	0.28887072	
1053.6	0.27355034	0.28924223	
1053.8	0.27374152	0.28960812	
1054	0.27403183	0.28996848	
1054.2	0.27412422	0.29032338	
1054.4	0.27432439	0.2906729	
1054.6	0.27462851	0.29101714	
1054.8	0.2746385	0.29135617	
1055	0.27493913	0.29169006	
1055.2	0.27523092	0.2920189	
1055.4	0.27539767	0.29234276	
1055.6	0.27589523	0.29266173	
1055.8	0.27602894	0.29297586	
1056	0.2761878	0.29328524	
1056.2	0.27674408	0.29358994	
1056.4	0.27675521	0.29389002	
1056.6	0.27695713	0.29418556	
1056.8	0.27699534	0.29447663	
1057	0.2771406	0.2947633	
1057.2	0.27779806	0.29504562	
1057.4	0.27799526	0.29532367	
1057.6	0.27844283	0.29559752	
1057.8	0.2789804	0.29586721	
1058	0.27896326	0.29613283	
1058.2	0.27931351	0.29639443	
1058.4	0.27978673	0.29665206	
1058.6	0.28015179	0.2969058	
1058.8	0.28009002	0.29715569	
1059	0.28028629	0.29740181	
1059.2	0.2808497	0.2976442	
1059.4	0.2808277	0.29788292	
1059.6	0.28098869	0.29811802	
1059.8	0.28118102	0.29834957	
1060	0.28151179	0.29857762	
1060.2	0.28207944	0.29880221	
1060.4	0.28215273	0.2990234	
1060.6	0.28222503	0.29924124	
1060.8	0.28242577	0.29945579	
1061	0.28257314	0.29966709	
1061.2	0.28292285	0.29987519	
1061.4	0.28321925	0.30008015	
1061.6	0.28321352	0.300282	
1061.8	0.2832525	0.30048079	
1062	0.28346085	0.30067658	
1062.2	0.2842138	0.3008694	
1062.4	0.28430694	0.3010593	
1062.6	0.28409213	0.30124633	
1062.8	0.28400572	0.30143053	
1063	0.28438345	0.30161194	
1063.2	0.28466359	0.30179061	
1063.4	0.28463918	0.30196657	
1063.6	0.28480343	0.30213986	
1063.8	0.28496082	0.30231054	
1064	0.28541372	0.30247863	
1064.2	0.28563449	0.30264418	
1064.4	0.28562227	0.30280722	
1064.6	0.28564946	0.30296779	
1064.8	0.28616256	0.30312593	
1065	0.28591879	0.30328168	
1065.2	0.28606217	0.30343507	
1065.4	0.28626444	0.30358614	
1065.6	0.28607902	0.30373493	
1065.8	0.2860216	0.30388146	
1066	0.28639886	0.30402577	
1066.2	0.28694441	0.3041679	
1066.4	0.28678528	0.30430788	
1066.6	0.28688439	0.30444574	
1066.8	0.28711096	0.30458151	
1067	0.28744177	0.30471523	
1067.2	0.2876323	0.30484692	
1067.4	0.28778563	0.30497662	
1067.6	0.28854486	0.30510436	
1067.8	0.28859244	0.30523017	
1068	0.28891757	0.30535407	
1068.2	0.28932272	0.30547609	
1068.4	0.28932466	0.30559627	
1068.6	0.28950242	0.30571463	
1068.8	0.28989924	0.30583119	
1069	0.28993109	0.305946	
1069.2	0.29027239	0.30605906	
1069.4	0.29044277	0.30617042	
1069.6	0.29076388	0.30628008	
1069.8	0.29088183	0.30638809	
1070	0.29137589	0.30649447	
1070.2	0.29184489	0.30659923	
1070.4	0.29204406	0.30670241	
1070.6	0.29210291	0.30680402	
1070.8	0.29242353	0.3069041	
1071	0.29257875	0.30700267	
1071.2	0.29288322	0.30709974	
1071.4	0.2929285	0.30719534	
1071.6	0.29386326	0.3072895	
1071.8	0.29339562	0.30738223	
