Conc1	2.5E-08	
Start1	1020	
Stop1	1439.8	
Kobs	0.00267394736731054	
Error Kobs	2.86751311821034E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
1020	0.01204859	0	
1020.2	0.01186908	0.00133926	
1020.4	0.01220007	0.00267032	
1020.6	0.01281228	0.00399325	
1020.8	0.01350382	0.00530807	
1021	0.01456322	0.00661486	
1021.2	0.01580631	0.00791364	
1021.4	0.0170048	0.00920449	
1021.6	0.01831465	0.01048743	
1021.8	0.01994698	0.01176252	
1022	0.02174476	0.01302982	
1022.2	0.02332773	0.01428935	
1022.4	0.02511526	0.01554119	
1022.6	0.02671873	0.01678536	
1022.8	0.02857116	0.01802192	
1023	0.03076839	0.01925092	
1023.2	0.03246277	0.02047239	
1023.4	0.03412518	0.02168639	
1023.6	0.0357342	0.02289297	
1023.8	0.03701897	0.02409216	
1024	0.03864015	0.02528402	
1024.2	0.0402258	0.02646858	
1024.4	0.04257355	0.0276459	
1024.6	0.04456884	0.02881601	
1024.8	0.04670912	0.02997896	
1025	0.04860542	0.0311348	
1025.2	0.05033154	0.03228357	
1025.4	0.05182845	0.0334253	
1025.6	0.05373085	0.03456006	
1025.8	0.05559014	0.03568787	
1026	0.05705167	0.03680878	
1026.2	0.05891388	0.03792283	
1026.4	0.06108615	0.03903006	
1026.6	0.06294994	0.04013052	
1026.8	0.0649087	0.04122425	
1027	0.0667746	0.04231128	
1027.2	0.06833206	0.04339167	
1027.4	0.0701337	0.04446544	
1027.6	0.07164633	0.04553265	
1027.8	0.07329519	0.04659332	
1028	0.07566523	0.04764751	
1028.2	0.07795852	0.04869525	
1028.4	0.08043925	0.04973657	
1028.6	0.08238822	0.05077153	
1028.8	0.08430049	0.05180015	
1029	0.08592508	0.05282248	
1029.2	0.08804577	0.05383855	
1029.4	0.09003101	0.05484841	
1029.6	0.09200813	0.05585209	
1029.8	0.09354019	0.05684962	
1030	0.09464503	0.05784106	
1030.2	0.0965313	0.05882643	
1030.4	0.09782007	0.05980577	
1030.6	0.09907322	0.06077911	
1030.8	0.1007156	0.06174651	
1031	0.10217051	0.06270798	
1031.2	0.10354559	0.06366357	
1031.4	0.10455166	0.06461331	
1031.6	0.10589939	0.06555725	
1031.8	0.10742199	0.06649541	
1032	0.10935545	0.06742782	
1032.2	0.11098586	0.06835454	
1032.4	0.11272257	0.06927558	
1032.6	0.11410733	0.07019099	
1032.8	0.11551732	0.0711008	
1033	0.11687972	0.07200504	
1033.2	0.1187619	0.07290375	
1033.4	0.12009208	0.07379696	
1033.6	0.12123818	0.0746847	
1033.8	0.12233636	0.07556701	
1034	0.12327176	0.07644393	
1034.2	0.12466016	0.07731548	
1034.4	0.1255172	0.0781817	
1034.6	0.12640582	0.07904261	
1034.8	0.12771722	0.07989826	
1035	0.12809665	0.08074868	
1035.2	0.1287204	0.08159389	
1035.4	0.12949273	0.08243393	
1035.6	0.13081787	0.08326883	
1035.8	0.13184485	0.08409862	
1036	0.13286482	0.08492334	
1036.2	0.13371495	0.08574301	
1036.4	0.13468998	0.08655766	
1036.6	0.13529621	0.08736734	
1036.8	0.13583739	0.08817205	
1037	0.13636288	0.08897184	
1037.2	0.13739817	0.08976674	
1037.4	0.1378394	0.09055678	
1037.6	0.13861452	0.09134198	
1037.8	0.13921994	0.09212238	
1038	0.13982219	0.09289801	
1038.2	0.14045888	0.09366888	
1038.4	0.14073549	0.09443505	
1038.6	0.14131155	0.09519652	
1038.8	0.14199716	0.09595333	
1039	0.14215136	0.09670552	
1039.2	0.14292363	0.0974531	
1039.4	0.14376172	0.09819611	
1039.6	0.144786	0.09893457	
1039.8	0.14494826	0.09966852	
1040	0.1451076	0.10039797	
1040.2	0.14556554	0.10112296	
1040.4	0.14605449	0.10184352	
1040.6	0.14620692	0.10255966	
1040.8	0.14642058	0.10327143	
1041	0.14682931	0.10397884	
1041.2	0.14742416	0.10468192	
1041.4	0.1480561	0.1053807	
1041.6	0.1489146	0.1060752	
1041.8	0.14938753	0.10676546	
1042	0.1495428	0.10745149	
1042.2	0.14963612	0.10813333	
1042.4	0.14977297	0.10881099	
1042.6	0.15012966	0.10948451	
1042.8	0.15028642	0.1101539	
1043	0.1503889	0.11081921	
1043.2	0.15057172	0.11148044	
1043.4	0.15084632	0.11213762	
1043.6	0.15145639	0.11279078	
1043.8	0.1514521	0.11343995	
1044	0.15197766	0.11408515	
1044.2	0.15278225	0.11472639	
1044.4	0.15287076	0.11536372	
1044.6	0.15354421	0.11599714	
1044.8	0.15388377	0.11662669	
1045	0.15449467	0.11725239	
1045.2	0.15498707	0.11787426	
1045.4	0.15553098	0.11849233	
1045.6	0.15556677	0.11910661	
1045.8	0.15548478	0.11971714	
1046	0.15490155	0.12032393	
1046.2	0.1549363	0.120927	
1046.4	0.15490042	0.12152639	
1046.6	0.15472871	0.12212211	
1046.8	0.15496875	0.12271419	
1047	0.1552651	0.12330264	
1047.2	0.15549245	0.12388749	
1047.4	0.15587713	0.12446876	
1047.6	0.15658417	0.12504648	
1047.8	0.15705525	0.12562066	
1048	0.15772154	0.12619133	
1048.2	0.15794528	0.12675851	
1048.4	0.15796302	0.12732222	
1048.6	0.15882145	0.12788248	
1048.8	0.15884318	0.12843931	
1049	0.15923236	0.12899274	
1049.2	0.159127	0.12954277	
1049.4	0.15941796	0.13008945	
1049.6	0.15945416	0.13063278	
1049.8	0.15950699	0.13117278	
1050	0.15944198	0.13170948	
1050.2	0.15961856	0.1322429	
1050.4	0.15933902	0.13277305	
1050.6	0.15946171	0.13329996	
1050.8	0.16031785	0.13382364	
1051	0.16031196	0.13434413	
1051.2	0.16032668	0.13486142	
1051.4	0.16017634	0.13537555	
1051.6	0.16063539	0.13588654	
1051.8	0.16083105	0.1363944	
1052	0.16125897	0.13689915	
1052.2	0.16133891	0.13740082	
1052.4	0.16157882	0.13789941	
1052.6	0.1619489	0.13839496	
1052.8	0.16150477	0.13888747	
1053	0.16169372	0.13937697	
1053.2	0.16163825	0.13986347	
1053.4	0.16191084	0.140347	
1053.6	0.16225864	0.14082757	
1053.8	0.16228486	0.1413052	
1054	0.1623928	0.1417799	
1054.2	0.16191287	0.14225171	
1054.4	0.16216906	0.14272062	
1054.6	0.16252464	0.14318667	
1054.8	0.16344138	0.14364986	
1055	0.16331488	0.14411022	
1055.2	0.16359282	0.14456777	
1055.4	0.16416695	0.14502251	
1055.6	0.16482076	0.14547448	
1055.8	0.16531965	0.14592367	
1056	0.16563048	0.14637012	
1056.2	0.16550819	0.14681384	
1056.4	0.16526729	0.14725484	
1056.6	0.1650819	0.14769315	
1056.8	0.16512306	0.14812877	
1057	0.16524202	0.14856173	
1057.2	0.16516542	0.14899204	
1057.4	0.16522284	0.14941971	
1057.6	0.16517693	0.14984477	
1057.8	0.16484608	0.15026723	
1058	0.16486449	0.15068711	
1058.2	0.16467815	0.15110441	
1058.4	0.16536021	0.15151916	
1058.6	0.16518676	0.15193138	
1058.8	0.16571801	0.15234107	
1059	0.16564691	0.15274825	
1059.2	0.16628988	0.15315295	
1059.4	0.16712551	0.15355517	
1059.6	0.16730556	0.15395492	
1059.8	0.16749505	0.15435223	
1060	0.16712918	0.15474711	
1060.2	0.16736885	0.15513958	
1060.4	0.16737562	0.15552964	
1060.6	0.16795128	0.15591732	
1060.8	0.16809082	0.15630262	
1061	0.16776707	0.15668557	
1061.2	0.16726588	0.15706618	
1061.4	0.16727337	0.15744445	
1061.6	0.16688304	0.15782041	
1061.8	0.16678417	0.15819407	
1062	0.16698948	0.15856545	
1062.2	0.16686209	0.15893455	
1062.4	0.16725251	0.15930139	
1062.6	0.16731413	0.15966599	
1062.8	0.16780871	0.16002836	
1063	0.16833897	0.16038852	
1063.2	0.16893373	0.16074646	
1063.4	0.16933777	0.16110222	
1063.6	0.16936611	0.1614558	
1063.8	0.16985005	0.16180722	
1064	0.17036945	0.16215649	
1064.2	0.17083764	0.16250362	
1064.4	0.17114506	0.16284863	
1064.6	0.17151948	0.16319153	
1064.8	0.17128021	0.16353232	
1065	0.17163898	0.16387104	
1065.2	0.17150677	0.16420768	
1065.4	0.1718369	0.16454226	
1065.6	0.17168251	0.1648748	
1065.8	0.17168147	0.1652053	
1066	0.17209666	0.16553377	
1066.2	0.17213591	0.16586024	
1066.4	0.17249035	0.16618471	
1066.6	0.17269799	0.1665072	
1066.8	0.17292926	0.16682771	
1067	0.17334222	0.16714626	
1067.2	0.17322923	0.16746286	
1067.4	0.17358003	0.16777753	
1067.6	0.17393426	0.16809027	
1067.8	0.17460912	0.16840109	
1068	0.17470391	0.16871002	
1068.2	0.1743948	0.16901705	
1068.4	0.17458599	0.16932221	
1068.6	0.17454849	0.1696255	
1068.8	0.17432431	0.16992693	
1069	0.17447196	0.17022652	
1069.2	0.17381768	0.17052428	
1069.4	0.17373412	0.17082021	
1069.6	0.17352023	0.17111434	
1069.8	0.1736171	0.17140666	
1070	0.17373414	0.1716972	
1070.2	0.17368569	0.17198595	
1070.4	0.17393811	0.17227295	
1070.6	0.17418813	0.17255818	
1070.8	0.17412635	0.17284167	
1071	0.17447568	0.17312343	
1071.2	0.17454586	0.17340346	
1071.4	0.17520208	0.17368178	
1071.6	0.17573154	0.17395839	
1071.8	0.17591249	0.17423332	
1072	0.17622164	0.17450656	
1072.2	0.17604269	0.17477813	
1072.4	0.17662431	0.17504803	
1072.6	0.17633586	0.17531629	
1072.8	0.17605491	0.17558291	
1073	0.17654987	0.17584789	
1073.2	0.17693454	0.17611125	
1073.4	0.17779167	0.176373	
1073.6	0.17815654	0.17663315	
1073.8	0.17888888	0.17689171	
1074	0.1788113	0.17714869	
1074.2	0.17898135	0.17740409	
1074.4	0.17892445	0.17765793	
1074.6	0.17896164	0.17791022	
1074.8	0.17905387	0.17816097	
1075	0.17922857	0.17841018	
1075.2	0.17882058	0.17865786	
1075.4	0.1789723	0.17890403	
1075.6	0.17901257	0.1791487	
1075.8	0.17896811	0.17939187	
1076	0.17877604	0.17963355	
1076.2	0.17847878	0.17987375	
1076.4	0.17874195	0.18011248	
1076.6	0.1781156	0.18034975	
1076.8	0.17855204	0.18058557	
1077	0.17884896	0.18081994	
1077.2	0.17937089	0.18105288	
1077.4	0.17982875	0.1812844	
1077.6	0.1798633	0.1815145	
1077.8	0.18014802	0.18174319	
1078	0.18002716	0.18197049	
1078.2	0.18047701	0.18219639	
1078.4	0.18085788	0.18242091	
1078.6	0.18147154	0.18264406	
1078.8	0.18193026	0.18286584	
1079	0.18194434	0.18308626	
1079.2	0.18186176	0.18330534	
1079.4	0.18225271	0.18352308	
1079.6	0.18236142	0.18373948	
1079.8	0.1823184	0.18395456	
1080	0.18208697	0.18416832	
1080.2	0.18256923	0.18438078	
1080.4	0.18239939	0.18459193	
1080.6	0.18184958	0.1848018	
1080.8	0.18173881	0.18501038	
1081	0.18133414	0.18521768	
1081.2	0.18123339	0.18542371	
1081.4	0.18091229	0.18562849	
1081.6	0.18002576	0.18583201	
1081.8	0.18002069	0.18603429	
1082	0.18004105	0.18623533	
1082.2	0.18012926	0.18643514	
1082.4	0.18020411	0.18663372	
1082.6	0.18043788	0.18683109	
1082.8	0.18050003	0.18702726	
1083	0.18071027	0.18722222	
1083.2	0.18132525	0.18741599	
1083.4	0.18170052	0.18760858	
