Conc1	1E-07	
Start1	1020	
Stop1	1439.8	
Kobs	0.00267394736731054	
Error Kobs	2.86751311821034E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
1020	0.010649	0	
1020.2	0.01406082	0.00832346	
1020.4	0.01819805	0.01645813	
1020.6	0.02313794	0.02440827	
1020.8	0.02881322	0.03217808	
1021	0.03528893	0.03977165	
1021.2	0.04229834	0.04719298	
1021.4	0.04985593	0.05444596	
1021.6	0.05787354	0.06153443	
1021.8	0.06601002	0.06846211	
1022	0.07442512	0.07523265	
1022.2	0.08248042	0.08184962	
1022.4	0.09052279	0.08831649	
1022.6	0.09811506	0.09463668	
1022.8	0.10597599	0.1008135	
1023	0.11319524	0.10685022	
1023.2	0.1205485	0.11275	
1023.4	0.1275603	0.11851596	
1023.6	0.13410077	0.12415114	
1023.8	0.14094197	0.12965849	
1024	0.14748155	0.13504091	
1024.2	0.1536135	0.14030125	
1024.4	0.15939801	0.14544227	
1024.6	0.16494024	0.15046667	
1024.8	0.17007345	0.15537711	
1025	0.17514487	0.16017616	
1025.2	0.17933766	0.16486636	
1025.4	0.18337985	0.16945017	
1025.6	0.18726403	0.17393	
1025.8	0.19077454	0.17830822	
1026	0.19442399	0.18258713	
1026.2	0.19770156	0.18676898	
1026.4	0.20074738	0.19085597	
1026.6	0.2033754	0.19485026	
1026.8	0.20634768	0.19875395	
1027	0.2087263	0.20256909	
1027.2	0.21084353	0.20629769	
1027.4	0.21283032	0.20994171	
1027.6	0.21458787	0.21350308	
1027.8	0.21650599	0.21698366	
1028	0.21825644	0.2203853	
1028.2	0.21977348	0.22370978	
1028.4	0.22157101	0.22695884	
1028.6	0.22311141	0.23013421	
1028.8	0.22466317	0.23323755	
1029	0.22586961	0.2362705	
1029.2	0.22658942	0.23923466	
1029.4	0.22775973	0.24213157	
1029.6	0.22902678	0.24496278	
1029.8	0.2304745	0.24772977	
1030	0.23186878	0.25043399	
1030.2	0.23323627	0.25307687	
1030.4	0.2345388	0.25565981	
1030.6	0.23561383	0.25818415	
1030.8	0.23705544	0.26065124	
1031	0.23774554	0.26306237	
1031.2	0.23877116	0.2654188	
1031.4	0.23943025	0.26772179	
1031.6	0.24022904	0.26997253	
1031.8	0.24102882	0.27217222	
1032	0.24175787	0.27432202	
1032.2	0.24196894	0.27642305	
1032.4	0.24267968	0.27847643	
1032.6	0.24329149	0.28048323	
1032.8	0.24393533	0.2824445	
1033	0.24431222	0.2843613	
1033.2	0.24500599	0.28623461	
1033.4	0.24614005	0.28806543	
1033.6	0.24696427	0.28985472	
1033.8	0.24789029	0.29160343	
1034	0.24862371	0.29331247	
1034.2	0.24920308	0.29498274	
1034.4	0.25001367	0.29661513	
1034.6	0.25040881	0.29821048	
1034.8	0.25137045	0.29976966	
1035	0.25202115	0.30129346	
1035.2	0.25280879	0.3027827	
1035.4	0.25298751	0.30423816	
1035.6	0.25355138	0.30566061	
1035.8	0.25415894	0.30705079	
1036	0.25457711	0.30840944	
1036.2	0.2546452	0.30973727	
1036.4	0.25549876	0.31103498	
