Conc1	1.25E-08	
Start1	1020	
Stop1	1439.8	
Kobs	0.00227265916157765	
Error Kobs	4.20353758551911E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
1020	0.01029542	0	
1020.2	0.00801541	0.00024818	
1020.4	0.00560964	0.00049574	
1020.6	0.00309673	0.00074268	
1020.8	0.00052196	0.00098899	
1021	-0.0018686	0.00123468	
1021.2	-0.00389149	0.00147976	
1021.4	-0.00560014	0.00172421	
1021.6	-0.00686759	0.00196805	
1021.8	-0.00792513	0.00221128	
1022	-0.00792492	0.00245389	
1022.2	-0.00728836	0.0026959	
1022.4	-0.0077605	0.00293729	
1022.6	-0.0078178	0.00317807	
1022.8	-0.00735723	0.00341825	
1023	-0.00705327	0.00365783	
1023.2	-0.00679694	0.0038968	
1023.4	-0.0069409	0.00413516	
1023.6	-0.00662914	0.00437293	
1023.8	-0.00616542	0.0046101	
1024	-0.00640197	0.00484667	
1024.2	-0.00634623	0.00508264	
1024.4	-0.0065588	0.00531803	
1024.6	-0.00648411	0.00555281	
1024.8	-0.00617961	0.00578701	
1025	-0.00623218	0.00602061	
1025.2	-0.00569017	0.00625363	
1025.4	-0.00572701	0.00648606	
1025.6	-0.0056022	0.00671791	
1025.8	-0.00587294	0.00694917	
1026	-0.00525914	0.00717985	
1026.2	-0.00527227	0.00740995	
1026.4	-0.00494604	0.00763946	
1026.6	-0.0045206	0.0078684	
1026.8	-0.00415881	0.00809677	
1027	-0.00380955	0.00832455	
1027.2	-0.00358591	0.00855177	
1027.4	-0.00354501	0.00877841	
1027.6	-0.00284539	0.00900448	
1027.8	-0.0029869	0.00922998	
1028	-0.0030854	0.00945491	
1028.2	-0.00299542	0.00967928	
1028.4	-0.00231098	0.00990308	
1028.6	-0.00188017	0.01012632	
1028.8	-0.00184724	0.01034899	
1029	-0.00207355	0.01057111	
1029.2	-0.00176597	0.01079266	
1029.4	-0.00219905	0.01101366	
1029.6	-0.00175179	0.0112341	
1029.8	-0.00146374	0.01145398	
1030	-0.00051275	0.01167332	
1030.2	-0.00021037	0.01189209	
1030.4	0.0002238	0.01211032	
1030.6	0.00041791	0.012328	
1030.8	0.00087842	0.01254513	
1031	0.0016902	0.01276171	
1031.2	0.00207739	0.01297775	
1031.4	0.0024184	0.01319324	
1031.6	0.00338269	0.01340819	
1031.8	0.00324686	0.0136226	
1032	0.00350355	0.01383646	
1032.2	0.00387757	0.01404979	
1032.4	0.003909	0.01426258	
1032.6	0.00350495	0.01447484	
1032.8	0.0033767	0.01468656	
1033	0.00342402	0.01489775	
1033.2	0.00351679	0.0151084	
1033.4	0.00373556	0.01531853	
1033.6	0.00395124	0.01552812	
1033.8	0.00437716	0.01573719	
1034	0.00472991	0.01594573	
1034.2	0.00481823	0.01615375	
1034.4	0.00491546	0.01636124	
1034.6	0.00520392	0.01656821	
1034.8	0.00545832	0.01677466	
1035	0.00567923	0.01698058	
1035.2	0.00578866	0.01718599	
1035.4	0.00621953	0.01739088	
1035.6	0.00669394	0.01759526	
1035.8	0.00677332	0.01779912	
1036	0.00728571	0.01800247	
1036.2	0.00762237	0.0182053	
1036.4	0.00773513	0.01840763	
1036.6	0.00817349	0.01860944	
1036.8	0.00876098	0.01881075	
1037	0.00872808	0.01901154	
1037.2	0.00909628	0.01921184	
1037.4	0.00961002	0.01941162	
1037.6	0.0098032	0.01961091	
1037.8	0.01020026	0.01980969	
1038	0.01050983	0.02000797	
1038.2	0.01074268	0.02020576	
1038.4	0.01061562	0.02040304	
1038.6	0.0109604	0.02059983	
1038.8	0.01102016	0.02079612	
1039	0.01094722	0.02099192	
1039.2	0.01118725	0.02118722	
1039.4	0.01106329	0.02138203	
1039.6	0.0110643	0.02157636	
1039.8	0.01141723	0.02177019	
1040	0.01121798	0.02196353	
1040.2	0.01106563	0.02215639	
1040.4	0.01096843	0.02234876	
1040.6	0.01103624	0.02254064	
1040.8	0.01119839	0.02273205	
1041	0.01105287	0.02292297	
1041.2	0.01186618	0.02311341	
1041.4	0.01255432	0.02330337	
1041.6	0.01299725	0.02349285	
1041.8	0.01319458	0.02368185	
1042	0.01379699	0.02387038	
1042.2	0.01428906	0.02405843	
1042.4	0.01474487	0.02424601	
1042.6	0.01551172	0.02443312	
1042.8	0.01613363	0.02461976	
1043	0.01640049	0.02480592	
1043.2	0.01677368	0.02499162	
1043.4	0.01708476	0.02517685	
1043.6	0.01761663	0.02536161	
1043.8	0.01814886	0.0255459	
1044	0.01802812	0.02572974	
1044.2	0.01797206	0.02591311	
1044.4	0.01798893	0.02609601	
1044.6	0.01782404	0.02627846	
1044.8	0.01765568	0.02646045	
1045	0.01788456	0.02664197	
1045.2	0.0182576	0.02682305	
1045.4	0.01846813	0.02700366	
1045.6	0.01867165	0.02718382	
1045.8	0.01877937	0.02736353	
1046	0.01910943	0.02754278	
1046.2	0.01962089	0.02772158	
1046.4	0.01985723	0.02789993	
1046.6	0.02026693	0.02807784	
1046.8	0.02105504	0.02825529	
1047	0.0215844	0.0284323	
1047.2	0.0219551	0.02860886	
1047.4	0.02235503	0.02878498	
1047.6	0.02251382	0.02896065	
1047.8	0.02234803	0.02913588	
1048	0.02179615	0.02931067	
1048.2	0.02171144	0.02948502	
1048.4	0.02197516	0.02965893	
1048.6	0.02153164	0.0298324	
1048.8	0.02153852	0.03000543	
1049	0.02182829	0.03017803	
1049.2	0.02199037	0.03035019	
1049.4	0.02223412	0.03052192	
1049.6	0.02259865	0.03069322	
1049.8	0.02306863	0.03086409	
1050	0.02345966	0.03103452	
1050.2	0.02364137	0.03120453	
1050.4	0.02408263	0.03137411	
1050.6	0.02451679	0.03154326	
1050.8	0.02537169	0.03171198	
1051	0.0258432	0.03188028	
1051.2	0.0256614	0.03204816	
1051.4	0.02576045	0.03221561	
1051.6	0.02542687	0.03238264	
1051.8	0.02550428	0.03254925	
1052	0.02526626	0.03271544	
1052.2	0.02585913	0.03288121	
1052.4	0.02580614	0.03304657	
1052.6	0.02530913	0.0332115	
1052.8	0.0253116	0.03337603	
1053	0.02545932	0.03354013	
1053.2	0.02548822	0.03370383	
1053.4	0.02571575	0.03386711	
1053.6	0.02592896	0.03402998	
1053.8	0.02603351	0.03419244	
1054	0.02592243	0.03435449	
1054.2	0.02614177	0.03451614	
1054.4	0.02659139	0.03467737	
1054.6	0.0267204	0.0348382	
1054.8	0.02704924	0.03499863	
1055	0.0272564	0.03515865	
1055.2	0.0277531	0.03531826	
1055.4	0.02787215	0.03547748	
1055.6	0.02836078	0.03563629	
1055.8	0.02870672	0.03579471	
1056	0.02831255	0.03595272	
1056.2	0.02908089	0.03611034	
1056.4	0.02889188	0.03626756	
1056.6	0.02928791	0.03642438	
1056.8	0.02951845	0.03658081	
1057	0.02980837	0.03673684	
1057.2	0.02983775	0.03689249	
1057.4	0.02998958	0.03704774	
1057.6	0.02989849	0.03720259	
1057.8	0.02986853	0.03735706	
1058	0.03003735	0.03751114	
1058.2	0.03042828	0.03766483	
1058.4	0.03053265	0.03781814	
1058.6	0.03066638	0.03797105	
1058.8	0.03098636	0.03812359	
