Conc1	2.5E-08	
Start1	1020	
Stop1	1439.8	
Kobs	0.00227265916157765	
Error Kobs	4.20353758551911E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
1020	0.00811227	0	
1020.2	0.00777754	0.00041582	
1020.4	0.00704253	0.00082973	
1020.6	0.00628231	0.00124175	
1020.8	0.00523113	0.00165188	
1021	0.00495821	0.00206013	
1021.2	0.00447097	0.00246651	
1021.4	0.00383039	0.00287103	
1021.6	0.00336856	0.0032737	
1021.8	0.00286481	0.00367453	
1022	0.00304455	0.00407352	
1022.2	0.00272893	0.00447068	
1022.4	0.00323294	0.00486602	
1022.6	0.00365304	0.00525956	
1022.8	0.0041505	0.00565129	
1023	0.00507031	0.00604122	
1023.2	0.00532155	0.00642938	
1023.4	0.00580121	0.00681575	
1023.6	0.00658953	0.00720035	
1023.8	0.00749539	0.0075832	
1024	0.00847158	0.00796429	
1024.2	0.00919528	0.00834363	
1024.4	0.00953828	0.00872124	
1024.6	0.0100474	0.00909712	
1024.8	0.01052855	0.00947128	
1025	0.01112448	0.00984372	
1025.2	0.01114724	0.01021446	
1025.4	0.011168	0.0105835	
1025.6	0.01169954	0.01095085	
1025.8	0.01208152	0.01131652	
1026	0.01266287	0.01168051	
1026.2	0.01273349	0.01204284	
1026.4	0.01360553	0.0124035	
1026.6	0.01409707	0.01276252	
1026.8	0.01459354	0.01311989	
1027	0.0148684	0.01347563	
1027.2	0.01502321	0.01382973	
1027.4	0.01587428	0.01418222	
1027.6	0.01654133	0.01453309	
1027.8	0.01714317	0.01488235	
1028	0.01745862	0.01523001	
1028.2	0.01793799	0.01557609	
1028.4	0.01833371	0.01592057	
1028.6	0.01864211	0.01626348	
1028.8	0.01911339	0.01660482	
1029	0.01912551	0.0169446	
1029.2	0.01986958	0.01728282	
1029.4	0.02035189	0.01761949	
1029.6	0.02109504	0.01795462	
1029.8	0.02178093	0.01828822	
1030	0.02228342	0.01862028	
1030.2	0.02315703	0.01895083	
1030.4	0.0238089	0.01927986	
1030.6	0.02429426	0.01960739	
1030.8	0.02486171	0.01993341	
1031	0.02535823	0.02025795	
1031.2	0.0260789	0.02058099	
1031.4	0.02640895	0.02090256	
1031.6	0.02674653	0.02122266	
1031.8	0.02704802	0.02154129	
1032	0.02714237	0.02185846	
1032.2	0.02781115	0.02217417	
1032.4	0.02824192	0.02248844	
1032.6	0.02840793	0.02280128	
1032.8	0.0292186	0.02311268	
1033	0.02962865	0.02342265	
1033.2	0.03031425	0.02373121	
1033.4	0.03084753	0.02403835	
1033.6	0.03166177	0.02434408	
1033.8	0.03246215	0.02464842	
1034	0.03258126	0.02495136	
1034.2	0.03298479	0.02525291	
1034.4	0.03349434	0.02555308	
1034.6	0.03373684	0.02585188	
1034.8	0.03393977	0.02614931	
1035	0.0340104	0.02644538	
1035.2	0.03412968	0.02674009	
1035.4	0.03400357	0.02703345	
1035.6	0.03400461	0.02732547	
1035.8	0.03432642	0.02761615	
1036	0.03471127	0.02790551	
1036.2	0.03530909	0.02819353	
1036.4	0.0355636	0.02848024	
1036.6	0.03602295	0.02876563	
1036.8	0.03662196	0.02904972	
1037	0.03739562	0.0293325	
1037.2	0.03795233	0.02961399	
1037.4	0.03884145	0.0298942	
1037.6	0.03952165	0.03017311	
1037.8	0.03993129	0.03045075	
1038	0.04017225	0.03072712	
1038.2	0.04067552	0.03100223	
1038.4	0.0413177	0.03127607	
1038.6	0.04156358	0.03154866	
1038.8	0.04181426	0.03182	
1039	0.04207453	0.0320901	
1039.2	0.0422983	0.03235897	
1039.4	0.04255824	0.0326266	
1039.6	0.04302141	0.032893	
1039.8	0.04386105	0.03315819	
1040	0.04418989	0.03342216	
1040.2	0.04405137	0.03368492	
1040.4	0.04426802	0.03394648	
1040.6	0.04436806	0.03420684	
1040.8	0.04432861	0.03446601	
1041	0.04487367	0.03472399	
1041.2	0.04510466	0.03498079	
1041.4	0.04507393	0.03523642	
1041.6	0.04509933	0.03549087	
1041.8	0.04549499	0.03574416	
1042	0.04536906	0.03599629	
1042.2	0.04548827	0.03624727	
1042.4	0.04575963	0.03649709	
1042.6	0.04592198	0.03674577	
1042.8	0.04595979	0.03699331	
1043	0.04624209	0.03723972	
1043.2	0.04684564	0.037485	
1043.4	0.04717285	0.03772916	
1043.6	0.0476645	0.0379722	
1043.8	0.0481038	0.03821412	
1044	0.04812339	0.03845494	
1044.2	0.04854199	0.03869466	
1044.4	0.04919566	0.03893327	
1044.6	0.04967559	0.0391708	
1044.8	0.04991824	0.03940723	
1045	0.05018025	0.03964259	
1045.2	0.05045864	0.03987686	
1045.4	0.05052315	0.04011007	
1045.6	0.05078315	0.0403422	
1045.8	0.05120029	0.04057328	
1046	0.05071371	0.04080329	
1046.2	0.05102576	0.04103225	
1046.4	0.05129127	0.04126016	
1046.6	0.05116896	0.04148703	
1046.8	0.0513364	0.04171286	
1047	0.05171144	0.04193766	
1047.2	0.05220101	0.04216142	
1047.4	0.0521536	0.04238417	
1047.6	0.05284065	0.04260589	
1047.8	0.05328344	0.04282659	
1048	0.05376376	0.04304629	
1048.2	0.05437222	0.04326498	
1048.4	0.05486203	0.04348267	
1048.6	0.05546569	0.04369936	
1048.8	0.05561845	0.04391506	
1049	0.05591069	0.04412977	
1049.2	0.05654176	0.04434349	
1049.4	0.05667406	0.04455624	
1049.6	0.05693183	0.04476802	
1049.8	0.05712002	0.04497882	
1050	0.05695837	0.04518866	
1050.2	0.05706451	0.04539754	
1050.4	0.05721413	0.04560546	
1050.6	0.05724088	0.04581243	
1050.8	0.05744918	0.04601845	
1051	0.05746851	0.04622353	
1051.2	0.05747402	0.04642767	
1051.4	0.05741931	0.04663088	
1051.6	0.05746766	0.04683315	
1051.8	0.05711116	0.0470345	
1052	0.05733682	0.04723492	
1052.2	0.05758664	0.04743443	
1052.4	0.05771227	0.04763303	
1052.6	0.05821486	0.04783071	
1052.8	0.05817319	0.04802749	
1053	0.05852729	0.04822337	
1053.2	0.05863798	0.04841835	
1053.4	0.05878193	0.04861244	
1053.6	0.05894923	0.04880564	
1053.8	0.05884343	0.04899795	
1054	0.05893795	0.04918939	
1054.2	0.05883368	0.04937994	
1054.4	0.0593884	0.04956963	
1054.6	0.05982057	0.04975844	
1054.8	0.059823	0.0499464	
1055	0.05996601	0.05013349	
1055.2	0.06018955	0.05031972	
1055.4	0.05989685	0.0505051	
1055.6	0.05993486	0.05068963	
1055.8	0.06014833	0.05087332	
1056	0.06075557	0.05105617	
1056.2	0.06102006	0.05123818	
1056.4	0.06081213	0.05141935	
