Conc1	5E-08	
Start1	1020	
Stop1	1439.8	
Kobs	0.00227265916157765	
Error Kobs	4.20353758551911E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
1020	0.00414365	0	
1020.2	0.00241239	0.00061687	
1020.4	0.00032373	0.00122837	
1020.6	-0.00126596	0.00183457	
1020.8	-0.0026863	0.0024355	
1021	-0.00415716	0.00303121	
1021.2	-0.0052379	0.00362174	
1021.4	-0.00605082	0.00420714	
1021.6	-0.00664067	0.00478746	
1021.8	-0.00662813	0.00536273	
1022	-0.00606561	0.00593301	
1022.2	-0.00492935	0.00649834	
1022.4	-0.00391981	0.00705875	
1022.6	-0.00331238	0.00761429	
1022.8	-0.0025417	0.00816501	
1023	-0.00196838	0.00871095	
1023.2	-0.00080487	0.00925214	
1023.4	0.00004414	0.00978863	
1023.6	0.00068527	0.01032045	
1023.8	0.00145566	0.01084766	
1024	0.00262179	0.01137029	
1024.2	0.00388423	0.01188838	
1024.4	0.00463877	0.01240197	
1024.6	0.00593104	0.01291109	
1024.8	0.00701242	0.01341579	
1025	0.00745623	0.01391611	
1025.2	0.00858859	0.01441208	
1025.4	0.00952355	0.01490375	
1025.6	0.01019938	0.01539114	
1025.8	0.01102784	0.01587429	
1026	0.01215106	0.01635325	
1026.2	0.01275897	0.01682805	
1026.4	0.01375114	0.01729873	
1026.6	0.01464539	0.01776531	
1026.8	0.01582369	0.01822785	
1027	0.01644404	0.01868636	
1027.2	0.01733407	0.01914089	
1027.4	0.01832469	0.01959147	
1027.6	0.01953456	0.02003814	
1027.8	0.02036998	0.02048093	
1028	0.02137332	0.02091987	
1028.2	0.0222881	0.02135499	
1028.4	0.02282287	0.02178634	
1028.6	0.02381919	0.02221394	
1028.8	0.02411546	0.02263782	
1029	0.02435877	0.02305803	
1029.2	0.02524035	0.02347458	
1029.4	0.02572978	0.02388751	
1029.6	0.02613448	0.02429686	
1029.8	0.02683712	0.02470265	
1030	0.02758922	0.02510491	
1030.2	0.02767249	0.02550368	
1030.4	0.02839097	0.02589899	
1030.6	0.02874394	0.02629086	
1030.8	0.02861733	0.02667932	
1031	0.02886255	0.02706442	
1031.2	0.0295599	0.02744616	
1031.4	0.03059895	0.02782459	
1031.6	0.03144408	0.02819974	
1031.8	0.03224402	0.02857162	
1032	0.03286483	0.02894027	
1032.2	0.03386906	0.02930572	
1032.4	0.03403091	0.029668	
1032.6	0.03499317	0.03002713	
1032.8	0.03524815	0.03038314	
1033	0.0358985	0.03073605	
1033.2	0.03625447	0.0310859	
1033.4	0.03681486	0.03143271	
1033.6	0.037438	0.03177651	
1033.8	0.03791595	0.03211732	
1034	0.03793162	0.03245517	
1034.2	0.03827763	0.03279009	
1034.4	0.03867036	0.03312209	
1034.6	0.03849653	0.03345121	
1034.8	0.03862671	0.03377748	
1035	0.03917761	0.0341009	
1035.2	0.03970838	0.03442152	
1035.4	0.04028775	0.03473935	
1035.6	0.04086876	0.03505442	
1035.8	0.04089031	0.03536676	
1036	0.04114245	0.03567638	
1036.2	0.04154416	0.03598331	
1036.4	0.04150592	0.03628758	
1036.6	0.04173526	0.0365892	
1036.8	0.04221231	0.0368882	
1037	0.04236721	0.0371846	
1037.2	0.04260601	0.03747843	
1037.4	0.04281593	0.03776971	
1037.6	0.04299842	0.03805845	
1037.8	0.04323474	0.03834469	
1038	0.04363785	0.03862844	
1038.2	0.04422376	0.03890973	
1038.4	0.04468792	0.03918857	
1038.6	0.04510286	0.03946499	
1038.8	0.04573244	0.039739	
1039	0.04619977	0.04001064	
1039.2	0.04669699	0.04027992	
1039.4	0.04704602	0.04054686	
1039.6	0.04760357	0.04081148	
1039.8	0.04750709	0.0410738	
1040	0.0477327	0.04133384	
1040.2	0.04793854	0.04159162	
1040.4	0.0481673	0.04184716	
1040.6	0.0479347	0.04210049	
1040.8	0.04810656	0.04235161	
1041	0.04780372	0.04260055	
1041.2	0.04780151	0.04284733	
1041.4	0.0473326	0.04309196	
1041.6	0.04747025	0.04333447	
1041.8	0.04770344	0.04357487	
1042	0.04816454	0.04381319	
1042.2	0.04803047	0.04404943	
1042.4	0.04873303	0.04428362	
1042.6	0.04897238	0.04451578	
1042.8	0.04933182	0.04474592	
1043	0.05015013	0.04497406	
1043.2	0.0503589	0.04520022	
1043.4	0.05057063	0.04542441	
1043.6	0.05104812	0.04564666	
1043.8	0.05136833	0.04586697	
1044	0.05201911	0.04608537	
1044.2	0.05224218	0.04630188	
1044.4	0.05222849	0.0465165	
1044.6	0.05200034	0.04672926	
1044.8	0.05185882	0.04694017	
1045	0.05196054	0.04714925	
1045.2	0.05226863	0.04735651	
1045.4	0.0520965	0.04756197	
1045.6	0.05218878	0.04776565	
1045.8	0.05227039	0.04796755	
1046	0.05217736	0.04816771	
1046.2	0.05183902	0.04836612	
1046.4	0.05242738	0.04856281	
1046.6	0.05225998	0.04875779	
1046.8	0.0524045	0.04895108	
1047	0.05252476	0.04914269	
1047.2	0.05226328	0.04933263	
1047.4	0.05239424	0.04952092	
1047.6	0.05284505	0.04970758	
1047.8	0.05278565	0.04989262	
1048	0.05271473	0.05007605	
1048.2	0.0525853	0.05025788	
1048.4	0.05276295	0.05043814	
1048.6	0.0525216	0.05061683	
1048.8	0.05225095	0.05079397	
1049	0.05258344	0.05096956	
1049.2	0.05242273	0.05114364	
1049.4	0.05231656	0.0513162	
1049.6	0.05254052	0.05148726	
1049.8	0.05256026	0.05165683	
1050	0.05266445	0.05182494	
1050.2	0.05280484	0.05199158	
1050.4	0.05306465	0.05215677	
1050.6	0.05315269	0.05232053	
1050.8	0.05342764	0.05248287	
1051	0.05341333	0.0526438	
1051.2	0.05357139	0.05280332	
1051.4	0.05380423	0.05296147	
1051.6	0.05376164	0.05311823	
1051.8	0.05358727	0.05327364	
1052	0.05359774	0.0534277	
1052.2	0.05388683	0.05358042	
1052.4	0.05332514	0.05373181	
1052.6	0.0528549	0.05388188	
1052.8	0.05277728	0.05403066	
1053	0.05268597	0.05417814	
1053.2	0.05215519	0.05432434	
1053.4	0.05238408	0.05446926	
1053.6	0.05288234	0.05461293	
1053.8	0.0531481	0.05475536	
1054	0.05356769	0.05489654	
1054.2	0.05395653	0.0550365	
1054.4	0.05448814	0.05517524	
1054.6	0.05488678	0.05531278	
1054.8	0.05492068	0.05544912	
1055	0.05518137	0.05558427	
1055.2	0.05557914	0.05571826	
1055.4	0.05564711	0.05585108	
1055.6	0.05544023	0.05598274	
1055.8	0.05550206	0.05611326	
1056	0.05534815	0.05624265	
1056.2	0.05533617	0.05637091	
1056.4	0.0545988	0.05649806	
1056.6	0.05439925	0.05662411	
1056.8	0.05405604	0.05674906	
1057	0.05383877	0.05687292	
1057.2	0.05368803	0.05699571	
1057.4	0.05386825	0.05711743	
1057.6	0.05434197	0.0572381	
1057.8	0.05475681	0.05735771	
1058	0.05501417	0.05747629	
1058.2	0.05523091	0.05759383	
1058.4	0.05528176	0.05771036	
1058.6	0.0551414	0.05782587	
1058.8	0.05526558	0.05794038	
1059	0.05530733	0.0580539	
1059.2	0.05532115	0.05816643	
1059.4	0.05529955	0.05827798	
1059.6	0.05507782	0.05838856	
1059.8	0.05516822	0.05849818	
1060	0.05534349	0.05860685	
1060.2	0.0554028	0.05871457	
1060.4	0.05500489	0.05882136	
1060.6	0.05527643	0.05892722	
1060.8	0.05526022	0.05903216	
1061	0.05518812	0.05913619	
1061.2	0.05519947	0.05923932	
1061.4	0.05507625	0.05934155	
1061.6	0.05532903	0.05944289	
1061.8	0.05533856	0.05954336	
1062	0.05484464	0.05964294	
1062.2	0.05467948	0.05974167	
1062.4	0.0545602	0.05983953	
1062.6	0.05398364	0.05993655	
1062.8	0.05414517	0.06003272	
1063	0.05391412	0.06012806	
1063.2	0.05428717	0.06022257	
1063.4	0.05441918	0.06031626	
1063.6	0.05414809	0.06040913	
1063.8	0.05419271	0.0605012	
1064	0.05462032	0.06059247	
1064.2	0.05495669	0.06068294	
1064.4	0.05510681	0.06077263	
1064.6	0.05544115	0.06086154	
1064.8	0.05518528	0.06094968	
1065	0.0551527	0.06103705	
1065.2	0.05527642	0.06112366	
1065.4	0.05525252	0.06120952	
1065.6	0.05526981	0.06129464	
1065.8	0.05513298	0.06137901	
1066	0.05502878	0.06146265	
1066.2	0.05536046	0.06154557	
1066.4	0.05535674	0.06162776	
1066.6	0.05520423	0.06170925	
1066.8	0.05572761	0.06179002	
1067	0.0557554	0.06187009	
1067.2	0.05584385	0.06194947	
1067.4	0.0557509	0.06202815	
1067.6	0.055446	0.06210615	
1067.8	0.05515806	0.06218348	
1068	0.05558188	0.06226013	
1068.2	0.05553504	0.06233612	
1068.4	0.0551256	0.06241145	
1068.6	0.05488451	0.06248612	
1068.8	0.05488887	0.06256014	
1069	0.05500042	0.06263352	
1069.2	0.05493788	0.06270627	
1069.4	0.05542061	0.06277838	
1069.6	0.05522598	0.06284986	
1069.8	0.05530276	0.06292073	
1070	0.05579357	0.06299098	
1070.2	0.05591504	0.06306061	
1070.4	0.05608058	0.06312965	
1070.6	0.05621789	0.06319808	
1070.8	0.05636313	0.06326592	
1071	0.05617995	0.06333317	
1071.2	0.05605854	0.06339983	
1071.4	0.05604794	0.06346592	
1071.6	0.0559814	0.06353143	
1071.8	0.05568554	0.06359638	
1072	0.05551278	0.06366075	
1072.2	0.05495749	0.06372457	
1072.4	0.0546174	0.06378784	
1072.6	0.05472074	0.06385055	
1072.8	0.05430235	0.06391273	
1073	0.05428889	0.06397436	
1073.2	0.05448535	0.06403545	
1073.4	0.05520372	0.06409602	
1073.6	0.05474032	0.06415605	
1073.8	0.05495319	0.06421557	
1074	0.05551535	0.06427457	
1074.2	0.05524263	0.06433306	
1074.4	0.05546517	0.06439104	
1074.6	0.05557598	0.06444851	
1074.8	0.05578217	0.06450549	
1075	0.05585048	0.06456197	
1075.2	0.05598694	0.06461796	
1075.4	0.05589042	0.06467346	
1075.6	0.05564976	0.06472848	
1075.8	0.05536448	0.06478303	
1076	0.05492276	0.0648371	
1076.2	0.0550326	0.0648907	
1076.4	0.05511883	0.06494383	
1076.6	0.05504293	0.0649965	
1076.8	0.05489928	0.06504872	
1077	0.055261	0.06510048	
1077.2	0.05556386	0.06515179	
1077.4	0.05595872	0.06520266	
1077.6	0.05554048	0.06525308	
1077.8	0.05609037	0.06530307	
1078	0.05640315	0.06535262	
1078.2	0.05620753	0.06540174	
1078.4	0.05645585	0.06545044	
1078.6	0.05716481	0.06549871	
1078.8	0.05743276	0.06554656	
1079	0.05723745	0.065594	
1079.2	0.05737933	0.06564102	
1079.4	0.05710787	0.06568764	
1079.6	0.05678113	0.06573385	
1079.8	0.05691278	0.06577966	
1080	0.05691315	0.06582507	
1080.2	0.0568728	0.06587009	
1080.4	0.05655636	0.06591471	
1080.6	0.05623618	0.06595895	
1080.8	0.05627573	0.06600281	
1081	0.05599299	0.06604628	
1081.2	0.05586807	0.06608938	
1081.4	0.05591845	0.0661321	
1081.6	0.05564619	0.06617445	
1081.8	0.05587169	0.06621643	
1082	0.05592189	0.06625805	
1082.2	0.05597286	0.0662993	
1082.4	0.05629565	0.0663402	
1082.6	0.05628749	0.06638074	
1082.8	0.05614215	0.06642093	
1083	0.05584419	0.06646077	
1083.2	0.05617041	0.06650027	
1083.4	0.05589714	0.06653942	
1083.6	0.05551642	0.06657823	
1083.8	0.05535457	0.0666167	
1084	0.05502827	0.06665484	
1084.2	0.05472488	0.06669265	
1084.4	0.05472895	0.06673013	
1084.6	0.05493515	0.06676729	
1084.8	0.05499276	0.06680412	
1085	0.05490676	0.06684063	
1085.2	0.05504937	0.06687682	
1085.4	0.05564051	0.0669127	
1085.6	0.05535695	0.06694827	
1085.8	0.05551475	0.06698353	
1086	0.0557709	0.06701849	
1086.2	0.05538439	0.06705313	
1086.4	0.05510631	0.06708748	
1086.6	0.05500179	0.06712153	
1086.8	0.05514615	0.06715529	
1087	0.05482315	0.06718875	
1087.2	0.05512731	0.06722192	
1087.4	0.05484396	0.0672548	
1087.6	0.05464892	0.0672874	
1087.8	0.05467694	0.06731971	
1088	0.05495265	0.06735174	
1088.2	0.05504786	0.0673835	
1088.4	0.05500582	0.06741498	
1088.6	0.05509707	0.06744618	
1088.8	0.05500574	0.06747712	
1089	0.05489607	0.06750778	
1089.2	0.05496327	0.06753818	
1089.4	0.05487705	0.06756831	
1089.6	0.05436174	0.06759819	
1089.8	0.05459061	0.0676278	
1090	0.05471698	0.06765716	
1090.2	0.05460203	0.06768626	
1090.4	0.05472769	0.06771511	
1090.6	0.05472283	0.0677437	
1090.8	0.05472674	0.06777205	
1091	0.05509096	0.06780016	
1091.2	0.05544998	0.06782801	
1091.4	0.05535825	0.06785563	
1091.6	0.05547584	0.06788301	
1091.8	0.05578159	0.06791015	
1092	0.05577036	0.06793705	
1092.2	0.05545001	0.06796372	
1092.4	0.05557127	0.06799016	
1092.6	0.05524579	0.06801637	
1092.8	0.05498997	0.06804235	
1093	0.05475991	0.0680681	
1093.2	0.05487418	0.06809363	
1093.4	0.05461485	0.06811894	
1093.6	0.05459516	0.06814403	
1093.8	0.05441306	0.0681689	
1094	0.05439953	0.06819356	
1094.2	0.05427321	0.068218	
1094.4	0.05411762	0.06824223	
1094.6	0.05416692	0.06826625	
1094.8	0.0543927	0.06829005	
1095	0.05463427	0.06831366	
1095.2	0.05451736	0.06833706	
1095.4	0.05415653	0.06836025	
1095.6	0.05399088	0.06838324	
1095.8	0.05440922	0.06840604	
1096	0.05445789	0.06842863	
1096.2	0.05469698	0.06845103	
1096.4	0.05524118	0.06847323	
1096.6	0.05505392	0.06849525	
1096.8	0.05517417	0.06851707	
1097	0.05558215	0.0685387	
1097.2	0.05571245	0.06856014	
1097.4	0.0553108	0.0685814	
1097.6	0.05503244	0.06860247	
1097.8	0.05501019	0.06862336	
1098	0.05489251	0.06864406	
1098.2	0.05456325	0.06866459	
1098.4	0.05472332	0.06868494	
1098.6	0.05484781	0.06870511	
1098.8	0.05493046	0.06872511	
1099	0.05483147	0.06874493	
1099.2	0.05435541	0.06876458	
1099.4	0.05378757	0.06878407	
1099.6	0.05378857	0.06880338	
1099.8	0.05404587	0.06882252	
1100	0.05415682	0.0688415	
1100.2	0.0540896	0.06886031	
1100.4	0.0540634	0.06887896	
1100.6	0.05401301	0.06889744	
1100.8	0.05416987	0.06891577	
1101	0.05459783	0.06893394	
1101.2	0.0544446	0.06895195	
1101.4	0.05427497	0.0689698	
1101.6	0.0543881	0.0689875	
1101.8	0.05475244	0.06900504	
1102	0.05454183	0.06902243	
1102.2	0.05453215	0.06903967	
1102.4	0.05498375	0.06905676	
1102.6	0.05509319	0.06907371	
1102.8	0.05499226	0.0690905	
1103	0.05439687	0.06910715	
1103.2	0.05401267	0.06912365	
1103.4	0.0534388	0.06914001	
1103.6	0.05313409	0.06915623	
1103.8	0.05284192	0.06917231	
1104	0.05300335	0.06918825	
1104.2	0.05289875	0.06920405	
1104.4	0.05324703	0.06921971	
1104.6	0.05374024	0.06923524	
1104.8	0.05377933	0.06925063	
1105	0.0536526	0.06926589	
1105.2	0.05372754	0.06928101	
1105.4	0.05384568	0.06929601	
1105.6	0.05393211	0.06931087	
1105.8	0.05416248	0.06932561	
1106	0.05397372	0.06934021	
1106.2	0.05419164	0.06935469	
1106.4	0.05430427	0.06936905	
