Conc1	1E-07	
Start1	1020	
Stop1	1439.8	
Kobs	0.00227265916157765	
Error Kobs	4.20353758551911E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
1020	0.0046148	0	
1020.2	0.00427457	0.00104422	
1020.4	0.00404141	0.00207084	
1020.6	0.00437528	0.00308016	
1020.8	0.00484073	0.00407247	
1021	0.00517829	0.00504806	
1021.2	0.0058415	0.0060072	
1021.4	0.00680468	0.00695018	
1021.6	0.00814473	0.00787727	
1021.8	0.01003799	0.00878874	
1022	0.01194141	0.00968485	
1022.2	0.01415606	0.01056585	
1022.4	0.01599544	0.01143201	
1022.6	0.01748714	0.01228357	
1022.8	0.01904263	0.01312078	
1023	0.02061043	0.01394388	
1023.2	0.02240123	0.01475311	
1023.4	0.02439536	0.0155487	
1023.6	0.02640721	0.01633088	
1023.8	0.02800454	0.01709988	
1024	0.02953782	0.01785592	
1024.2	0.0308742	0.01859922	
1024.4	0.03227482	0.01933	
1024.6	0.03426364	0.02004846	
1024.8	0.03509184	0.02075481	
1025	0.03607774	0.02144925	
1025.2	0.03746604	0.022132	
1025.4	0.03845291	0.02280323	
1025.6	0.03938084	0.02346316	
1025.8	0.04036059	0.02411196	
1026	0.04141099	0.02474983	
1026.2	0.04240175	0.02537695	
1026.4	0.04309785	0.02599351	
1026.6	0.04350899	0.02659967	
1026.8	0.04417564	0.02719561	
1027	0.0448056	0.02778152	
1027.2	0.04530889	0.02835754	
1027.4	0.04624132	0.02892387	
1027.6	0.04684828	0.02948064	
1027.8	0.0469115	0.03002804	
1028	0.0478948	0.03056621	
1028.2	0.04873768	0.03109531	
1028.4	0.04988393	0.03161549	
1028.6	0.05089852	0.0321269	
1028.8	0.05140637	0.0326297	
1029	0.05218706	0.03312403	
1029.2	0.05301464	0.03361002	
1029.4	0.05360602	0.03408782	
1029.6	0.05461066	0.03455757	
1029.8	0.05560488	0.03501941	
1030	0.05645787	0.03547346	
1030.2	0.05706613	0.03591986	
1030.4	0.05728925	0.03635874	
1030.6	0.05744851	0.03679022	
1030.8	0.05732644	0.03721443	
1031	0.05694719	0.03763149	
1031.2	0.05724915	0.03804152	
1031.4	0.05732588	0.03844464	
1031.6	0.05745303	0.03884097	
1031.8	0.05717311	0.03923061	
1032	0.05800429	0.0396137	
1032.2	0.05804675	0.03999032	
1032.4	0.05834226	0.0403606	
1032.6	0.05843815	0.04072464	
1032.8	0.05843941	0.04108254	
1033	0.05870359	0.04143442	
1033.2	0.05893948	0.04178036	
1033.4	0.05969616	0.04212047	
1033.6	0.05991485	0.04245485	
1033.8	0.0603237	0.0427836	
1034	0.06053804	0.0431068	
1034.2	0.06120245	0.04342456	
1034.4	0.0613072	0.04373696	
1034.6	0.06130654	0.0440441	
1034.8	0.06153294	0.04434606	
1035	0.06175143	0.04464294	
1035.2	0.06236225	0.04493481	
1035.4	0.06202126	0.04522176	
1035.6	0.06194569	0.04550387	
1035.8	0.06203964	0.04578123	
1036	0.06232053	0.04605392	
1036.2	0.06188852	0.04632201	
1036.4	0.06171573	0.04658559	
1036.6	0.06170801	0.04684472	
1036.8	0.06161801	0.04709948	
1037	0.06170874	0.04734995	
1037.2	0.06139129	0.0475962	
1037.4	0.06177888	0.0478383	
1037.6	0.06172421	0.04807632	
1037.8	0.06190256	0.04831033	
1038	0.06189944	0.0485404	
1038.2	0.06217332	0.04876659	
1038.4	0.0622222	0.04898896	
1038.6	0.0621792	0.04920759	
1038.8	0.06233347	0.04942254	
