Conc1	1.25E-08	
Start1	1020	
Stop1	1439.8	
Kobs	0.00667149751962277	
Error Kobs	0.000270021651385573	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
1020	0.00907029	0	
1020.2	0.00664439	0	
1020.4	0.00417648	0	
1020.6	0.00189628	0	
1020.8	-0.00057467	0	
1021	-0.00312499	0	
1021.2	-0.00537492	0	
1021.4	-0.0076155	0	
1021.6	-0.00903444	0	
1021.8	-0.00988887	0	
1022	-0.01049004	0	
1022.2	-0.00992381	0	
1022.4	-0.00978532	0	
1022.6	-0.01093409	0	
1022.8	-0.01059597	0	
1023	-0.01106542	0	
1023.2	-0.01163449	0	
1023.4	-0.01142145	0	
1023.6	-0.01178564	0	
1023.8	-0.01178739	0	
1024	-0.0114572	0	
1024.2	-0.01144435	0	
1024.4	-0.01141543	0	
1024.6	-0.01160485	0	
1024.8	-0.01227568	0	
1025	-0.01238269	0	
1025.2	-0.01294401	0	
1025.4	-0.01315774	0	
1025.6	-0.01307394	0	
1025.8	-0.01395136	0	
1026	-0.01423208	0	
1026.2	-0.01441969	0	
1026.4	-0.01476511	0	
1026.6	-0.01451033	0	
1026.8	-0.01418422	0	
1027	-0.01453299	0	
1027.2	-0.013815	0	
1027.4	-0.01402322	0	
1027.6	-0.01390095	0	
1027.8	-0.01336968	0	
1028	-0.01360003	0	
1028.2	-0.01353819	0	
1028.4	-0.01361711	0	
1028.6	-0.01401202	0	
1028.8	-0.01336278	0	
1029	-0.01319058	0	
1029.2	-0.01360936	0	
1029.4	-0.01313848	0	
1029.6	-0.01383946	0	
1029.8	-0.01423894	0	
1030	-0.01401325	0	
1030.2	-0.01406137	0	
1030.4	-0.01320793	0	
1030.6	-0.01338526	0	
1030.8	-0.01380871	0	
1031	-0.01296651	0	
1031.2	-0.01286276	0	
1031.4	-0.01285758	0	
1031.6	-0.01238351	0	
1031.8	-0.01302302	0	
1032	-0.01296505	0	
1032.2	-0.01246553	0	
1032.4	-0.01313102	0	
1032.6	-0.01290085	0	
1032.8	-0.01242867	0	
1033	-0.01333677	0	
1033.2	-0.01339461	0	
1033.4	-0.0134169	0	
1033.6	-0.01413668	0	
