Conc1	2.5E-08	
Start1	1020	
Stop1	1439.8	
Kobs	0.00667149751962277	
Error Kobs	0.000270021651385573	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
1020	0.01365197	0	
1020.2	0.01137012	0.00006146	
1020.4	0.00886753	0.00012278	
1020.6	0.00646726	0.00018395	
1020.8	0.00388626	0.00024497	
1021	0.00178934	0.00030585	
1021.2	-0.00035116	0.00036658	
1021.4	-0.00223315	0.00042717	
1021.6	-0.00358245	0.00048761	
1021.8	-0.00476879	0.00054791	
1022	-0.00549058	0.00060807	
1022.2	-0.00526694	0.00066808	
1022.4	-0.00497551	0.00072795	
1022.6	-0.00496569	0.00078768	
1022.8	-0.00510271	0.00084726	
1023	-0.00468223	0.0009067	
1023.2	-0.00445492	0.00096601	
1023.4	-0.00449048	0.00102517	
1023.6	-0.00409082	0.00108418	
1023.8	-0.00451946	0.00114306	
1024	-0.00520772	0.0012018	
1024.2	-0.00554733	0.0012604	
1024.4	-0.00565004	0.00131886	
1024.6	-0.00586066	0.00137718	
1024.8	-0.00624689	0.00143536	
1025	-0.00595923	0.0014934	
1025.2	-0.00646987	0.0015513	
1025.4	-0.00666159	0.00160907	
1025.6	-0.00664362	0.00166669	
1025.8	-0.00689827	0.00172418	
1026	-0.00651096	0.00178154	
1026.2	-0.00609396	0.00183875	
1026.4	-0.00617124	0.00189583	
1026.6	-0.00617728	0.00195278	
1026.8	-0.00611149	0.00200959	
1027	-0.0058416	0.00206626	
1027.2	-0.00556199	0.0021228	
1027.4	-0.00571536	0.0021792	
1027.6	-0.00557461	0.00223547	
1027.8	-0.00552523	0.00229161	
1028	-0.0056011	0.00234761	
1028.2	-0.00513476	0.00240347	
1028.4	-0.00499575	0.00245921	
1028.6	-0.0049642	0.00251481	
1028.8	-0.00490029	0.00257028	
1029	-0.00479697	0.00262562	
1029.2	-0.00522243	0.00268082	
1029.4	-0.00529518	0.0027359	
1029.6	-0.00514775	0.00279084	
1029.8	-0.0053815	0.00284565	
1030	-0.00500368	0.00290033	
1030.2	-0.00516438	0.00295488	
1030.4	-0.00514492	0.0030093	
1030.6	-0.00509612	0.0030636	
1030.8	-0.00519603	0.00311776	
1031	-0.00470749	0.00317179	
1031.2	-0.00475618	0.00322569	
1031.4	-0.0045762	0.00327947	
1031.6	-0.00445936	0.00333312	
1031.8	-0.00418639	0.00338664	
1032	-0.00414745	0.00344003	
1032.2	-0.00388252	0.00349329	
1032.4	-0.003801	0.00354643	
1032.6	-0.00384937	0.00359944	
1032.8	-0.00406724	0.00365233	
1033	-0.004383	0.00370509	
1033.2	-0.00458562	0.00375772	
1033.4	-0.00467154	0.00381023	
1033.6	-0.00455234	0.00386261	
1033.8	-0.00477008	0.00391487	
1034	-0.00447336	0.003967	
1034.2	-0.0049263	0.00401901	
1034.4	-0.00468413	0.0040709	
1034.6	-0.00481212	0.00412266	
1034.8	-0.00484381	0.0041743	
1035	-0.0044858	0.00422581	
1035.2	-0.00512718	0.0042772	
1035.4	-0.00466753	0.00432847	
1035.6	-0.00480683	0.00437962	
1035.8	-0.0046222	0.00443065	
1036	-0.00442916	0.00448155	
1036.2	-0.00454848	0.00453234	
1036.4	-0.00489849	0.004583	
1036.6	-0.0053173	0.00463354	
1036.8	-0.00561353	0.00468396	
1037	-0.00588094	0.00473426	
1037.2	-0.00590498	0.00478444	
1037.4	-0.00578005	0.0048345	
1037.6	-0.00546865	0.00488445	
1037.8	-0.00518645	0.00493427	
1038	-0.00512661	0.00498397	
1038.2	-0.00511718	0.00503356	
1038.4	-0.00453973	0.00508303	
1038.6	-0.00426628	0.00513238	
1038.8	-0.00389615	0.00518161	
1039	-0.00337478	0.00523073	
1039.2	-0.0031036	0.00527972	
1039.4	-0.00241033	0.00532861	
1039.6	-0.00200105	0.00537737	
1039.8	-0.00186946	0.00542602	
1040	-0.00162273	0.00547455	
1040.2	-0.00185546	0.00552297	
1040.4	-0.00215681	0.00557127	
1040.6	-0.00237683	0.00561946	
1040.8	-0.00266113	0.00566753	
1041	-0.00246657	0.00571549	
1041.2	-0.00210379	0.00576333	
1041.4	-0.00218441	0.00581106	
1041.6	-0.00222175	0.00585867	
1041.8	-0.00233905	0.00590618	
1042	-0.00258062	0.00595356	
1042.2	-0.00237436	0.00600084	
1042.4	-0.00229192	0.006048	
1042.6	-0.00179875	0.00609505	
1042.8	-0.00145632	0.00614199	
1043	-0.00106324	0.00618882	
1043.2	-0.00096521	0.00623553	
1043.4	-0.00052677	0.00628214	
1043.6	-0.00015841	0.00632863	
1043.8	-0.00047621	0.00637501	
1044	-0.00012674	0.00642128	
1044.2	-0.00002087	0.00646745	
1044.4	-0.00012034	0.0065135	
1044.6	-0.0006369	0.00655944	
1044.8	-0.00068017	0.00660527	
1045	-0.00016679	0.00665099	
1045.2	-0.00007831	0.00669661	
1045.4	-0.00099663	0.00674211	
1045.6	-0.00123902	0.00678751	
1045.8	-0.00124799	0.0068328	
1046	-0.00122274	0.00687798	
1046.2	-0.00120185	0.00692305	
1046.4	-0.00093609	0.00696802	
1046.6	-0.00071684	0.00701288	
1046.8	-0.00053189	0.00705763	
1047	-0.00036901	0.00710227	
1047.2	-0.00028614	0.00714681	
1047.4	-0.00007672	0.00719124	
1047.6	0.00028464	0.00723557	
1047.8	-0.0000163	0.00727979	
1048	0.00031496	0.00732391	
1048.2	0.00039502	0.00736792	
1048.4	-0.00010586	0.00741182	
1048.6	-0.00029864	0.00745562	
1048.8	-0.00023025	0.00749932	
1049	0.00015848	0.00754291	
1049.2	0.00036267	0.0075864	
1049.4	-0.00002691	0.00762979	
1049.6	0.0001356	0.00767307	
1049.8	0.00012539	0.00771625	
1050	0.00036629	0.00775932	
1050.2	0.00044324	0.0078023	
1050.4	0.00079969	0.00784517	
1050.6	0.0007556	0.00788794	
1050.8	0.00098945	0.0079306	
1051	0.00108648	0.00797317	
1051.2	0.00093065	0.00801563	
1051.4	0.00112811	0.00805799	
1051.6	0.00105068	0.00810026	
1051.8	0.00064791	0.00814242	
1052	0.00112506	0.00818448	
1052.2	0.00123515	0.00822644	
1052.4	0.00101325	0.0082683	
1052.6	0.00103985	0.00831006	
1052.8	0.0009626	0.00835172	
1053	0.00164377	0.00839328	
1053.2	0.00163138	0.00843474	
1053.4	0.00139291	0.00847611	
1053.6	0.00109103	0.00851737	
1053.8	0.00116006	0.00855854	
1054	0.0016108	0.00859961	
1054.2	0.00177358	0.00864058	
1054.4	0.002073	0.00868145	
1054.6	0.00231309	0.00872223	
1054.8	0.00243443	0.0087629	
1055	0.00236381	0.00880349	
1055.2	0.002411	0.00884397	
1055.4	0.00276131	0.00888436	
1055.6	0.00261446	0.00892465	
1055.8	0.0030541	0.00896485	
1056	0.00338898	0.00900495	
1056.2	0.00347785	0.00904496	
1056.4	0.00353671	0.00908486	
1056.6	0.00347589	0.00912468	
1056.8	0.00356108	0.0091644	
1057	0.00357014	0.00920402	
1057.2	0.00316088	0.00924356	
1057.4	0.00361166	0.00928299	
1057.6	0.00347661	0.00932233	
1057.8	0.00376743	0.00936158	
1058	0.00351846	0.00940074	
1058.2	0.00387996	0.0094398	
1058.4	0.00371994	0.00947877	
1058.6	0.00348604	0.00951765	
1058.8	0.0031262	0.00955643	
1059	0.00290508	0.00959512	
1059.2	0.00267152	0.00963372	
1059.4	0.00267733	0.00967223	
1059.6	0.0023453	0.00971064	
1059.8	0.00247714	0.00974896	
1060	0.00214263	0.0097872	
1060.2	0.00212964	0.00982534	
1060.4	0.00179374	0.00986339	
1060.6	0.00165168	0.00990135	
1060.8	0.00177111	0.00993922	
1061	0.00189279	0.009977	
1061.2	0.00216312	0.01001468	
1061.4	0.00273464	0.01005228	
1061.6	0.00250361	0.01008979	
1061.8	0.00286186	0.01012721	
1062	0.00299656	0.01016454	
1062.2	0.00358937	0.01020179	
