Conc1	5E-08	
Start1	1020	
Stop1	1439.8	
Kobs	0.00667149751962277	
Error Kobs	0.000270021651385573	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
1020	0.01132041	0	
1020.2	0.01003427	0.00013537	
1020.4	0.00828217	0.00027028	
1020.6	0.00631863	0.00040473	
1020.8	0.00480054	0.00053872	
1021	0.0030958	0.00067224	
1021.2	0.00193106	0.00080531	
1021.4	0.00067018	0.00093792	
1021.6	-0.00058116	0.00107008	
1021.8	-0.00109175	0.00120178	
1022	-0.00182784	0.00133303	
1022.2	-0.00201559	0.00146383	
1022.4	-0.00131051	0.00159418	
1022.6	-0.00186345	0.00172409	
1022.8	-0.00148902	0.00185355	
1023	-0.00102372	0.00198256	
1023.2	-0.00166534	0.00211113	
1023.4	-0.00126135	0.00223926	
1023.6	-0.0009513	0.00236696	
1023.8	-0.00104564	0.00249421	
1024	-0.0013663	0.00262103	
1024.2	-0.00164133	0.00274741	
1024.4	-0.0021189	0.00287335	
1024.6	-0.00188799	0.00299887	
1024.8	-0.00182094	0.00312396	
1025	-0.00204691	0.00324861	
1025.2	-0.00177122	0.00337284	
1025.4	-0.00233871	0.00349664	
1025.6	-0.00195497	0.00362002	
1025.8	-0.00194717	0.00374297	
1026	-0.00226749	0.00386551	
1026.2	-0.00174035	0.00398762	
1026.4	-0.00194128	0.00410931	
1026.6	-0.00173998	0.00423059	
1026.8	-0.0012225	0.00435144	
1027	-0.00141951	0.00447189	
1027.2	-0.00139146	0.00459192	
1027.4	-0.00044322	0.00471154	
1027.6	-0.00101757	0.00483075	
1027.8	-0.00049441	0.00494955	
1028	-0.00014673	0.00506794	
1028.2	-0.00067563	0.00518593	
1028.4	0.00023898	0.00530351	
1028.6	0.00067422	0.00542069	
1028.8	0.00084082	0.00553746	
1029	0.0009029	0.00565384	
1029.2	0.00100254	0.00576981	
1029.4	0.00097487	0.00588539	
1029.6	0.00107808	0.00600057	
1029.8	0.00043682	0.00611536	
1030	0.00109464	0.00622975	
1030.2	0.00120328	0.00634375	
1030.4	0.00056394	0.00645736	
1030.6	0.0009941	0.00657058	
1030.8	0.00064157	0.00668341	
1031	0.00093635	0.00679585	
1031.2	0.00127263	0.00690791	
1031.4	0.00102078	0.00701958	
1031.6	0.00104174	0.00713088	
1031.8	0.00182641	0.00724178	
1032	0.0019594	0.00735231	
1032.2	0.00246893	0.00746246	
1032.4	0.00318241	0.00757223	
1032.6	0.003469	0.00768162	
1032.8	0.00433845	0.00779064	
1033	0.00415771	0.00789929	
1033.2	0.00441827	0.00800756	
1033.4	0.00408113	0.00811546	
1033.6	0.00347757	0.00822299	
1033.8	0.00358746	0.00833015	
1034	0.00385322	0.00843694	
1034.2	0.0030654	0.00854337	
1034.4	0.00303424	0.00864943	
1034.6	0.00297986	0.00875513	
1034.8	0.00302344	0.00886047	
1035	0.00354441	0.00896544	
1035.2	0.00296549	0.00907006	
1035.4	0.00292704	0.00917431	
1035.6	0.00339076	0.00927821	
1035.8	0.00339168	0.00938175	
1036	0.00378632	0.00948493	
1036.2	0.00407836	0.00958777	
1036.4	0.00402687	0.00969024	
1036.6	0.0049155	0.00979237	
1036.8	0.0052335	0.00989415	
1037	0.0050683	0.00999558	
1037.2	0.00567593	0.01009666	
1037.4	0.0055185	0.01019739	
1037.6	0.00592842	0.01029778	
1037.8	0.00640232	0.01039782	
1038	0.00606864	0.01049752	
1038.2	0.00647958	0.01059688	
1038.4	0.00688991	0.01069589	
1038.6	0.0066277	0.01079457	
1038.8	0.00731591	0.01089291	
1039	0.00694509	0.01099091	
1039.2	0.00648902	0.01108857	
1039.4	0.00721754	0.0111859	
1039.6	0.00665432	0.0112829	
1039.8	0.00633474	0.01137956	
1040	0.00628058	0.01147589	
1040.2	0.00545442	0.01157189	
1040.4	0.00594053	0.01166756	
1040.6	0.00632809	0.01176291	
1040.8	0.00580194	0.01185792	
1041	0.00658289	0.01195261	
1041.2	0.00665739	0.01204698	
1041.4	0.0069935	0.01214102	
1041.6	0.00772008	0.01223474	
1041.8	0.00766676	0.01232813	
1042	0.00803425	0.01242121	
1042.2	0.0089467	0.01251397	
1042.4	0.00871924	0.01260641	
1042.6	0.009149	0.01269853	
1042.8	0.00960685	0.01279033	
1043	0.009279	0.01288183	
1043.2	0.00994827	0.012973	
1043.4	0.00980987	0.01306387	
1043.6	0.00890604	0.01315442	
1043.8	0.00931332	0.01324466	
1044	0.00906877	0.01333459	
1044.2	0.00929617	0.01342422	
