Conc1	1E-07	
Start1	1020	
Stop1	1439.8	
Kobs	0.00667149751962277	
Error Kobs	0.000270021651385573	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
1020	0.01271417	0	
1020.2	0.01142563	0.00030168	
1020.4	0.00998304	0.00060169	
1020.6	0.00902805	0.00090004	
1020.8	0.00792391	0.00119675	
1021	0.00682411	0.00149182	
1021.2	0.00628736	0.00178525	
1021.4	0.00605433	0.00207707	
1021.6	0.00575842	0.00236727	
1021.8	0.00602698	0.00265587	
1022	0.00663643	0.00294288	
1022.2	0.00777578	0.0032283	
1022.4	0.00837885	0.00351214	
1022.6	0.0095008	0.00379442	
1022.8	0.01017401	0.00407514	
1023	0.01059814	0.0043543	
1023.2	0.0111464	0.00463193	
1023.4	0.0115587	0.00490802	
1023.6	0.01221132	0.00518258	
1023.8	0.0127769	0.00545563	
1024	0.01312494	0.00572717	
1024.2	0.01353503	0.00599721	
1024.4	0.01374546	0.00626576	
1024.6	0.01405944	0.00653282	
1024.8	0.014144	0.00679841	
1025	0.01478759	0.00706254	
1025.2	0.01524005	0.0073252	
1025.4	0.01542176	0.00758641	
1025.6	0.01587508	0.00784618	
1025.8	0.01672953	0.00810452	
1026	0.01703479	0.00836142	
1026.2	0.01782848	0.00861691	
1026.4	0.0180315	0.00887099	
1026.6	0.01840829	0.00912366	
1026.8	0.01910117	0.00937494	
1027	0.01935627	0.00962483	
1027.2	0.02017184	0.00987334	
1027.4	0.02070317	0.01012047	
1027.6	0.02089933	0.01036624	
1027.8	0.02112987	0.01061066	
1028	0.0212159	0.01085372	
1028.2	0.02172061	0.01109544	
1028.4	0.02209297	0.01133582	
1028.6	0.02269242	0.01157488	
1028.8	0.02361357	0.01181262	
1029	0.02413711	0.01204904	
1029.2	0.02450655	0.01228416	
1029.4	0.02525015	0.01251798	
1029.6	0.02622613	0.0127505	
1029.8	0.02669298	0.01298175	
1030	0.02681152	0.01321171	
1030.2	0.02726614	0.01344041	
1030.4	0.02721919	0.01366784	
1030.6	0.02720661	0.01389401	
1030.8	0.02772341	0.01411894	
1031	0.02796312	0.01434262	
1031.2	0.02824941	0.01456507	
1031.4	0.02838908	0.01478628	
1031.6	0.02813413	0.01500628	
1031.8	0.02811417	0.01522506	
1032	0.02834792	0.01544263	
1032.2	0.02892656	0.015659	
1032.4	0.02922213	0.01587418	
1032.6	0.02936811	0.01608817	
1032.8	0.02953543	0.01630097	
1033	0.02967996	0.0165126	
1033.2	0.03036399	0.01672306	
1033.4	0.03071888	0.01693236	
