Temperature,2P,2PQ
10,1.97951,0.14595
10.5,4.28895,0.31623
11,3.95903,0.2919
11.5,3.95903,0.2919
12,3.95903,0.2919
12.5,3.97052,0.27641
13,3.84121,0.28469
13.5,4.07396,0.97902
14,4.56752,2.39765
14.5,5.12539,3.53404
15,5.69037,4.497
15.5,5.87583,5.70349
16,6.19063,6.51068
16.5,6.60731,6.78245
17,6.83684,6.94237
17.5,7.33962,6.97094
18,7.83773,6.88248
18.5,7.53389,6.53806
19,7.19774,6.01206
19.5,7.06015,5.96003
20,6.75928,5.83474
20.5,6.61429,5.14595
21,6.79366,4.73169
21.5,6.76125,4.65553
22,6.45981,4.15463
22.5,6.17464,3.71515
23,6.02965,3.51633
23.5,5.76739,3.51319
24,5.53177,3.43114
24.5,5.7307,3.28741
25,5.51441,3.43193
25.5,4.69217,3.79875
26,4.36426,3.61243
26.5,4.22544,3.40047
27,3.57876,3.59765
27.5,3.80587,3.72902
28,5.142,4.06394
28.5,6.3471,4.84566
29,7.63425,5.97769
29.5,9.42014,6.5891
30,10.88172,6.57644
30.5,11.52554,6.31035
31,11.85426,6.13529
31.5,12.28416,5.56952
32,12.60488,5.35559
32.5,12.47334,5.78937
33,13.39079,6.891
33.5,15.87703,8.72115
34,17.95532,10.58211
34.5,19.61139,12.0895
35,21.98188,13.68918
35.5,22.71423,13.95022
36,21.05981,11.94676
36.5,19.78141,9.99888
37,19.19549,8.71983
37.5,18.0401,6.98652
38,17.29982,5.69563
38.5,17.30202,5.87028
39,16.65397,6.2425
39.5,15.56427,6.04866
40,14.30167,5.88865
40.5,12.47949,5.78253
41,10.06945,5.17402
41.5,7.33163,3.89387
42,3.0879,2.58894
42.5,-2.16459,0.96305
43,-7.90677,-0.96145
43.5,-14.59807,-2.67304
44,-22.01009,-4.71188
44.5,-29.11715,-7.12604
45,-35.88491,-9.2116
45.5,-41.63199,-10.94442
46,-45.30566,-12.56646
46.5,-46.36536,-12.33865
47,-44.51668,-10.46696
47.5,-40.43766,-8.09187
48,-34.08681,-4.71626
48.5,-25.66341,-0.18112
49,-17.0212,3.72225
49.5,-8.6065,6.96058
50,0.34927,10.39959
50.5,8.74438,13.39589
51,16.50893,16.08297
51.5,24.33883,18.46757
52,31.3283,20.13376
52.5,37.54653,21.90437
53,42.86063,23.42161
53.5,46.15137,23.60418
54,48.09678,23.88207
54.5,49.87002,25.06492
55,50.51018,25.3137
55.5,51.09279,25.54473
56,52.39782,26.47456
56.5,53.03827,26.62486
57,52.95546,25.53965
57.5,53.03811,24.16038
58,52.21525,21.93632
58.5,50.487,18.85906
59,49.82462,16.03929
59.5,49.27727,13.67932
60,48.47537,11.96505
60.5,48.23956,10.75134
61,48.12732,10.01309
61.5,47.32424,9.58225
62,46.94026,9.48327
62.5,46.55294,9.57809
63,45.80186,10.33894
63.5,45.82021,11.94741
64,46.13237,14.62482
64.5,46.20042,17.96075
65,46.8672,21.48549
65.5,47.8565,24.91742
66,48.36699,28.16845
66.5,48.9115,30.3769
67,49.22063,31.51959
67.5,48.89346,32.36973
68,48.40714,32.62625
68.5,47.82506,32.33071
69,47.03762,32.00846
69.5,46.31182,31.73413
70,45.82398,31.14105
70.5,45.26081,30.73329
71,44.54271,30.32355
71.5,44.01648,30.01394
72,43.53448,29.98817
72.5,42.86161,29.75474
73,42.28056,29.44634
73.5,41.63603,29.20951
74,40.81559,28.68499
74.5,40.23585,28.02144
75,39.46912,28.05694
75.5,38.70773,28.02128
76,38.45375,27.76113
76.5,37.83145,27.68581
77,37.07579,27.4471
77.5,36.90137,26.81388
78,36.57512,26.54927
78.5,35.8872,26.54775
79,35.7672,26.35373
79.5,35.50085,26.56741
80,34.65422,26.63935
80.5,34.13956,26.2875
81,34.01406,25.93932
81.5,33.35019,25.77613
82,32.6773,25.55373
82.5,32.49925,25.35299
83,32.07764,25.32616
83.5,31.33974,25.51021
84,30.92003,25.47522
84.5,30.52316,24.91303
85,29.74109,24.35311
85.5,28.86143,23.43038
86,27.75595,21.76402
86.5,26.5526,20.38812
87,25.33543,19.73043
87.5,24.46738,19.3447
88,24.0011,19.61149
88.5,23.83751,20.71427
89,23.95194,22.41852
89.5,24.30302,24.15309
90,24.38462,25.86368
90.5,23.9527,27.48784
91,23.72809,28.55628
91.5,23.69921,28.61136
92,23.15279,27.71897
92.5,22.65837,26.44706
93,22.82465,25.23008
93.5,22.83562,23.91343
94,22.55413,23.09646
94.5,24.66204,24.22875
95,11.55838,10.8746
