Concentration,MFI_1,MFI_2,MFI_3,avg,sd,Mutant
0.1,6248,5694,6348,6096.666667,352.2858688,2P
0.3,22553,24798,22824.5,23391.83333,1225.318972,2P
1,31845,32727.5,31931.5,32168,486.4676248,2P
3,29380,30677,30608,30221.66667,729.7207228,2P
10,26649.5,27859,19122,24543.5,4733.943309,2P
0.1,2494,3237,3306,3012.333333,450.213653,2PQ
0.3,9760,11934,12382,11358.66667,1402.489691,2PQ
1,15524.5,20107.5,19731,18454.33333,2544.283904,2PQ
3,16550,20793,18675,18672.66667,2121.500962,2PQ
10,13997.5,19373,18477,17282.5,2879.951866,2PQ
