Concentration,MFI_1,MFI_2,MFI_3,avg,sd,Mutant
0.1,11442,25776.5,17792,18336.83333,7182.764446,2P
0.3,60768,69188,54491,61482.33333,7374.493632,2P
1,101947,120613,100595,107718.3333,11187.551,2P
3,120085.5,137096,138896,132025.8333,10379.72399,2P
10,114566,192708,116953,141409,44442.26584,2P
0.1,12228,22009.5,20177.5,18138.33333,5199.815966,2PQ
0.3,57107.5,66051,53364,58840.83333,6518.690481,2PQ
1,95268,108493,89768.5,97843.16667,9624.205816,2PQ
3,115478,126255,105340,115691,10459.12678,2PQ
10,119481,159083,112884,130482.6667,24987.28481,2PQ
