Concentration,MFI_1,MFI_2,MFI_3,avg,sd,Mutant
0.1,1471,1427,716,1204.666667,423.7691982,2P
0.3,7069,8099,7892.5,7686.833333,544.9303472,2P
1,12225,13862,12874,12987,824.3294244,2P
3,10326,16997,11472,12931.66667,3567.005794,2P
10,8387,9203,6409.5,7999.833333,1436.431023,2P
0.1,857,666,489,670.6666667,184.0443787,2PQ
0.3,4135,5189,5183.5,4835.833333,606.9457005,2PQ
1,6973,9552,9303,8609.333333,1422.564703,2PQ
3,6143,8919,7957,7673,1409.622645,2PQ
10,3881.5,6784,4788,5151.166667,1484.939084,2PQ
